tree cladeSize nAboveminActiveN nAboveminInactiveN meanActives stdActives meanInactives stdInactives
provided 32 1 21 0.3222222222222222 0.0 0.9192101751555113 0.13069539045970718
provided 33 1 20 0.3222222222222222 0.0 0.9151706839132869 0.13263740823150127
provided 34 1 20 0.3222222222222222 0.0 0.9151706839132869 0.13263740823150127
provided 35 1 20 0.3222222222222222 0.0 0.9151706839132869 0.13263740823150127
provided 36 0 20 0.0 0.0 0.9151706839132869 0.13263740823150127
provided 37 0 19 0.0 0.0 0.9107059830666178 0.13461033253144628
provided 38 0 19 0.0 0.0 0.9107059830666178 0.13461033253144628
provided 39 0 19 0.0 0.0 0.9107059830666178 0.13461033253144628
provided 40 0 18 0.0 0.0 0.9057452043480967 0.1365980521947738
provided 41 0 18 0.0 0.0 0.9057452043480967 0.1365980521947738
provided 42 0 18 0.0 0.0 0.9057452043480967 0.1365980521947738
provided 43 0 18 0.0 0.0 0.9057452043480967 0.1365980521947738
provided 44 0 17 0.0 0.0 0.9002008046038671 0.13857593984633668
provided 45 0 17 0.0 0.0 0.9002008046038671 0.13857593984633668
provided 46 0 17 0.0 0.0 0.9002008046038671 0.13857593984633668
provided 47 0 17 0.0 0.0 0.9002008046038671 0.13857593984633668
provided 48 0 15 0.0 0.0 0.9105376560704294 0.12908492982343103
provided 49 0 14 0.0 0.0 0.9041474886468885 0.13130351868737902
provided 50 0 14 0.0 0.0 0.9041474886468885 0.13130351868737902
provided 51 0 14 0.0 0.0 0.9041474886468885 0.13130351868737902
provided 52 0 14 0.0 0.0 0.9041474886468885 0.13130351868737902
provided 53 0 14 0.0 0.0 0.9041474886468885 0.13130351868737902
provided 54 0 13 0.0 0.0 0.9240550772190106 0.11409840463182648
provided 55 0 13 0.0 0.0 0.9240550772190106 0.11409840463182648
provided 56 0 13 0.0 0.0 0.9240550772190106 0.11409840463182648
provided 57 0 13 0.0 0.0 0.9240550772190106 0.11409840463182648
provided 58 0 13 0.0 0.0 0.9240550772190106 0.11409840463182648
provided 59 0 12 0.0 0.0 0.9177263336539281 0.11654453010770272
provided 60 0 11 0.0 0.0 0.9102469094406488 0.1189374221062541
provided 61 0 11 0.0 0.0 0.9102469094406488 0.1189374221062541
provided 62 0 11 0.0 0.0 0.9102469094406488 0.1189374221062541
provided 63 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 64 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 65 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 66 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 67 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 68 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 69 0 10 0.0 0.0 0.9012716003847137 0.12113877791964191
provided 70 0 9 0.0 0.0 0.8903017782052375 0.12288915750030077
provided 71 0 9 0.0 0.0 0.8903017782052375 0.12288915750030077
provided 72 0 9 0.0 0.0 0.8903017782052375 0.12288915750030077
provided 73 0 8 0.0 0.0 0.876589500480892 0.12368194741561621
provided 74 0 8 0.0 0.0 0.876589500480892 0.12368194741561621
provided 75 0 8 0.0 0.0 0.876589500480892 0.12368194741561621
provided 76 0 8 0.0 0.0 0.876589500480892 0.12368194741561621
provided 77 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 78 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 79 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 80 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 81 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 82 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 83 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 84 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 85 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 86 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 87 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 88 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 89 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 90 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 91 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 92 0 7 0.0 0.0 0.8589594291210194 0.122458101072232
provided 93 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 94 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 95 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 96 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 97 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 98 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
provided 99 0 6 0.0 0.0 0.8354526673078561 0.11673620966949756
