tree cladeSize nAboveminActiveN nAboveminInactiveN meanActives stdActives meanInactives stdInactives
provided 41 0 8 0.0 0.0 0.7275042803528382 0.17737504504837773
provided 42 0 8 0.0 0.0 0.7275042803528382 0.17737504504837773
provided 43 0 8 0.0 0.0 0.7275042803528382 0.17737504504837773
provided 44 0 7 0.0 0.0 0.7560488478757712 0.1715754236827144
provided 45 0 7 0.0 0.0 0.7560488478757712 0.1715754236827144
provided 46 0 6 0.0 0.0 0.78918839944481 0.16326932106137151
provided 47 0 6 0.0 0.0 0.78918839944481 0.16326932106137151
provided 48 0 4 0.0 0.0 0.7275147928994088 0.15731940766971728
provided 49 0 3 0.0 0.0 0.636686390532545 0.0
provided 50 0 3 0.0 0.0 0.636686390532545 0.0
provided 51 0 3 0.0 0.0 0.636686390532545 0.0
provided 52 0 3 0.0 0.0 0.636686390532545 0.0
provided 53 0 3 0.0 0.0 0.636686390532545 0.0
provided 54 0 3 0.0 0.0 0.636686390532545 0.0
provided 55 0 3 0.0 0.0 0.636686390532545 0.0
provided 56 0 3 0.0 0.0 0.636686390532545 0.0
provided 57 0 3 0.0 0.0 0.636686390532545 0.0
provided 58 0 3 0.0 0.0 0.636686390532545 0.0
provided 59 0 2 0.0 0.0 0.636686390532545 0.0
provided 60 0 1 0.0 0.0 0.636686390532545 0.0
provided 61 0 1 0.0 0.0 0.636686390532545 0.0
provided 62 0 1 0.0 0.0 0.636686390532545 0.0
provided 63 0 0 0.0 0.0 0.0 0.0
provided 64 0 0 0.0 0.0 0.0 0.0
provided 65 0 0 0.0 0.0 0.0 0.0
provided 66 0 0 0.0 0.0 0.0 0.0
provided 67 0 0 0.0 0.0 0.0 0.0
provided 68 0 0 0.0 0.0 0.0 0.0
provided 69 0 0 0.0 0.0 0.0 0.0
provided 70 0 0 0.0 0.0 0.0 0.0
provided 71 0 0 0.0 0.0 0.0 0.0
provided 72 0 0 0.0 0.0 0.0 0.0
provided 73 0 0 0.0 0.0 0.0 0.0
provided 74 0 0 0.0 0.0 0.0 0.0
provided 75 0 0 0.0 0.0 0.0 0.0
provided 76 0 0 0.0 0.0 0.0 0.0
provided 77 0 0 0.0 0.0 0.0 0.0
provided 78 0 0 0.0 0.0 0.0 0.0
provided 79 0 0 0.0 0.0 0.0 0.0
provided 80 0 0 0.0 0.0 0.0 0.0
provided 81 0 0 0.0 0.0 0.0 0.0
provided 82 0 0 0.0 0.0 0.0 0.0
provided 83 0 0 0.0 0.0 0.0 0.0
provided 84 0 0 0.0 0.0 0.0 0.0
provided 85 0 0 0.0 0.0 0.0 0.0
provided 86 0 0 0.0 0.0 0.0 0.0
provided 87 0 0 0.0 0.0 0.0 0.0
provided 88 0 0 0.0 0.0 0.0 0.0
provided 89 0 0 0.0 0.0 0.0 0.0
provided 90 0 0 0.0 0.0 0.0 0.0
provided 91 0 0 0.0 0.0 0.0 0.0
provided 92 0 0 0.0 0.0 0.0 0.0
provided 93 0 0 0.0 0.0 0.0 0.0
provided 94 0 0 0.0 0.0 0.0 0.0
provided 95 0 0 0.0 0.0 0.0 0.0
provided 96 0 0 0.0 0.0 0.0 0.0
provided 97 0 0 0.0 0.0 0.0 0.0
provided 98 0 0 0.0 0.0 0.0 0.0
provided 99 0 0 0.0 0.0 0.0 0.0
