Cell Line HMS LINCS ID,Cell Line Name,Unclassified Perturbagen HMS LINCS ID,Unclassified Perturbagen Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50106-2,BT-474,,,200865,IL-1 alpha,53567,1,ng/ml,90,minute,pErk,255.510
50106-2,BT-474,,,200865,IL-1 alpha,53483,100,ng/ml,90,minute,pErk,262.110
50106-2,BT-474,,,200865,IL-1 alpha,53379,1,ng/ml,10,minute,pSTAT1,139.366
50106-2,BT-474,,,200865,IL-1 alpha,53220,100,ng/ml,10,minute,pSTAT1,135.035
50106-2,BT-474,,,200865,IL-1 alpha,53136,1,ng/ml,30,minute,pSTAT1,124.073
50106-2,BT-474,,,200865,IL-1 alpha,53140,100,ng/ml,30,minute,pSTAT1,128.806
50106-2,BT-474,,,200865,IL-1 alpha,53236,1,ng/ml,90,minute,pSTAT1,174.874
50106-2,BT-474,,,200865,IL-1 alpha,53272,100,ng/ml,90,minute,pSTAT1,126.357
50106-2,BT-474,,,200865,IL-1 alpha,53296,1,ng/ml,10,minute,pSTAT3,68.394
50106-2,BT-474,,,200865,IL-1 alpha,53244,100,ng/ml,10,minute,pSTAT3,71.674
50106-2,BT-474,,,200865,IL-1 alpha,53355,1,ng/ml,30,minute,pSTAT3,65.659
50106-2,BT-474,,,200865,IL-1 alpha,53124,100,ng/ml,30,minute,pSTAT3,72.252
50106-2,BT-474,,,200865,IL-1 alpha,53391,1,ng/ml,90,minute,pSTAT3,74.032
50106-2,BT-474,,,200865,IL-1 alpha,53052,100,ng/ml,90,minute,pSTAT3,65.998
50107-2,BT-483,,,200865,IL-1 alpha,41663,1,ng/ml,10,minute,NF-kB,1.422
50107-2,BT-483,,,200865,IL-1 alpha,41643,100,ng/ml,10,minute,NF-kB,2.220
50107-2,BT-483,,,200865,IL-1 alpha,41544,1,ng/ml,30,minute,NF-kB,1.601
50107-2,BT-483,,,200865,IL-1 alpha,41623,100,ng/ml,30,minute,NF-kB,3.046
50107-2,BT-483,,,200865,IL-1 alpha,41747,1,ng/ml,90,minute,NF-kB,2.228
50107-2,BT-483,,,200865,IL-1 alpha,41719,100,ng/ml,90,minute,NF-kB,2.133
50107-2,BT-483,,,200865,IL-1 alpha,41851,1,ng/ml,10,minute,pErk,478.983
50107-2,BT-483,,,200865,IL-1 alpha,41619,100,ng/ml,10,minute,pErk,699.401
50107-2,BT-483,,,200865,IL-1 alpha,41635,1,ng/ml,30,minute,pErk,670.908
50107-2,BT-483,,,200865,IL-1 alpha,41723,100,ng/ml,30,minute,pErk,518.114
50107-2,BT-483,,,200865,IL-1 alpha,41807,1,ng/ml,90,minute,pErk,462.028
50107-2,BT-483,,,200865,IL-1 alpha,41595,100,ng/ml,90,minute,pErk,473.375
50107-2,BT-483,,,200865,IL-1 alpha,42175,1,ng/ml,10,minute,pSTAT1,276.208
50107-2,BT-483,,,200865,IL-1 alpha,42107,100,ng/ml,10,minute,pSTAT1,281.822
50107-2,BT-483,,,200865,IL-1 alpha,41995,1,ng/ml,30,minute,pSTAT1,297.623
50107-2,BT-483,,,200865,IL-1 alpha,42115,100,ng/ml,30,minute,pSTAT1,301.441
50107-2,BT-483,,,200865,IL-1 alpha,42007,1,ng/ml,90,minute,pSTAT1,334.935
50107-2,BT-483,,,200865,IL-1 alpha,42219,100,ng/ml,90,minute,pSTAT1,355.983
50107-2,BT-483,,,200865,IL-1 alpha,42011,1,ng/ml,10,minute,pSTAT3,87.204
50107-2,BT-483,,,200865,IL-1 alpha,42003,100,ng/ml,10,minute,pSTAT3,85.785
50107-2,BT-483,,,200865,IL-1 alpha,42287,1,ng/ml,30,minute,pSTAT3,96.942
50107-2,BT-483,,,200865,IL-1 alpha,42119,100,ng/ml,30,minute,pSTAT3,91.544
50107-2,BT-483,,,200865,IL-1 alpha,42211,1,ng/ml,90,minute,pSTAT3,92.508
50107-2,BT-483,,,200865,IL-1 alpha,42231,100,ng/ml,90,minute,pSTAT3,103.570
50108-2,BT-549,,,200865,IL-1 alpha,46520,1,ng/ml,10,minute,NF-kB,1.047
50108-2,BT-549,,,200865,IL-1 alpha,46663,100,ng/ml,10,minute,NF-kB,2.642
50108-2,BT-549,,,200865,IL-1 alpha,46779,1,ng/ml,30,minute,NF-kB,1.998
50108-2,BT-549,,,200865,IL-1 alpha,46592,100,ng/ml,30,minute,NF-kB,3.474
50108-2,BT-549,,,200865,IL-1 alpha,46847,1,ng/ml,90,minute,NF-kB,2.243
50108-2,BT-549,,,200865,IL-1 alpha,46807,100,ng/ml,90,minute,NF-kB,2.178
50108-2,BT-549,,,200865,IL-1 alpha,46691,1,ng/ml,10,minute,pErk,260.045
50108-2,BT-549,,,200865,IL-1 alpha,46723,100,ng/ml,10,minute,pErk,518.909
50108-2,BT-549,,,200865,IL-1 alpha,46831,1,ng/ml,30,minute,pErk,381.927
50108-2,BT-549,,,200865,IL-1 alpha,46611,100,ng/ml,30,minute,pErk,531.855
50108-2,BT-549,,,200865,IL-1 alpha,46851,1,ng/ml,90,minute,pErk,247.353
50108-2,BT-549,,,200865,IL-1 alpha,46791,100,ng/ml,90,minute,pErk,185.595
50108-2,BT-549,,,200865,IL-1 alpha,46507,1,ng/ml,10,minute,pSTAT1,142.718
50108-2,BT-549,,,200865,IL-1 alpha,46276,100,ng/ml,10,minute,pSTAT1,119.331
50108-2,BT-549,,,200865,IL-1 alpha,46424,1,ng/ml,30,minute,pSTAT1,143.633
50108-2,BT-549,,,200865,IL-1 alpha,46392,100,ng/ml,30,minute,pSTAT1,119.974
50108-2,BT-549,,,200865,IL-1 alpha,46200,1,ng/ml,90,minute,pSTAT1,188.450
50108-2,BT-549,,,200865,IL-1 alpha,46499,100,ng/ml,90,minute,pSTAT1,212.607
50108-2,BT-549,,,200865,IL-1 alpha,46380,1,ng/ml,10,minute,pSTAT3,172.568
50108-2,BT-549,,,200865,IL-1 alpha,46404,100,ng/ml,10,minute,pSTAT3,178.328
50108-2,BT-549,,,200865,IL-1 alpha,46388,1,ng/ml,30,minute,pSTAT3,144.687
50108-2,BT-549,,,200865,IL-1 alpha,46483,100,ng/ml,30,minute,pSTAT3,124.351
50108-2,BT-549,,,200865,IL-1 alpha,46300,1,ng/ml,90,minute,pSTAT3,253.608
50108-2,BT-549,,,200865,IL-1 alpha,46408,100,ng/ml,90,minute,pSTAT3,290.676
50131-2,CAMA-1,,,200865,IL-1 alpha,10956,1,ng/ml,10,minute,NF-kB,1.610
50131-2,CAMA-1,,,200865,IL-1 alpha,11136,100,ng/ml,10,minute,NF-kB,2.627
50131-2,CAMA-1,,,200865,IL-1 alpha,11012,1,ng/ml,30,minute,NF-kB,2.960
50131-2,CAMA-1,,,200865,IL-1 alpha,11156,100,ng/ml,30,minute,NF-kB,4.153
50131-2,CAMA-1,,,200865,IL-1 alpha,10864,1,ng/ml,90,minute,NF-kB,3.820
50131-2,CAMA-1,,,200865,IL-1 alpha,11144,100,ng/ml,90,minute,NF-kB,3.825
