Cell Line HMS LINCS ID,Cell Line Name,ERK (pg/cell),Akt (pg/cell),ErbB1 (pg/cell),ErbB2 (pg/cell),ErbB3 (pg/cell),ErbB4 (pg/cell),InsR (pg/cell),IGF1R (pg/cell),IGF2R (pg/cell),VEGFR1 (pg/cell),VEGFR2 (pg/cell),VEGFR3 (pg/cell),PDGFRa (pg/cell),PDGFRb (pg/cell),c-Met (pg/cell),c-Kit (pg/cell),EphA2 (pg/cell),Src (pg/cell),TrkA (pg/cell),FGFR1 (pg/cell),FGFR2 (pg/cell),FGFR3 (pg/cell),FGFR4 (pg/cell),EpCAM (pg/cell),pERK RnD (a.u.),pERK CST (a.u.),pAkt (a.u.),pErbB1 (a.u.),pErbB2 (a.u.),pErbB3 (a.u.),pErbB4 (a.u.),pInsR (a.u.),pIGF1R (a.u.),pIGF1R (Y1131) (a.u.),pVEGFR1 (a.u.),pVEGFR2 (a.u.),pVEGFR3 (a.u.),pPDGFRa (a.u.),pPDGFRb (a.u.),pc-Met (a.u.),pc-Kit (a.u.),pEphA2 (a.u.),pSrc (a.u.),pTrkA (a.u.),ER,PR
50208-2,HCC1428,0.001057,0.075777,0.039530,0.038714,0.033628,0.001203,0.000061,0.024890,0.019215,0.000421,0.000001,0.000193,0.000178,0.000266,0.000084,0.000000,0.000837,1.543919,0.000002,0.176235,0.000002,0.000018,0.005277,0.166874,0.000109,0.000209,0.003641,0.014974,0.002229,0.000052,0.004321,0.000016,0.000037,0.001832,0.000037,0.004061,0.000080,0.000009,0.000134,0.003332,0.001249,0.000023,0.002004,0.000116,0.002332,0.001020
50579-1,HCC1500,0.001627,0.030076,0.008530,0.028522,0.021393,0.000533,0.013918,0.024088,0.044645,0.000527,0.000001,0.000193,0.000178,0.000462,0.000084,0.000000,0.000026,0.394097,0.000002,0.206517,0.003372,0.000565,0.000309,0.125318,0.000242,0.000234,0.004047,0.007146,0.010088,0.000052,0.002743,0.035367,0.002356,0.038419,0.000037,0.000013,0.000080,0.001452,0.000134,0.009774,0.001249,0.000023,0.000149,0.000895,0.004777,0.001929
50210-2,HCC1569,0.001239,0.025774,0.008103,1.209554,0.023939,0.000015,0.000061,0.063655,0.021025,0.000193,0.000001,0.000193,0.000178,0.000006,0.042288,0.000000,0.011558,1.525413,0.000002,0.217837,0.000745,0.000988,0.000001,0.107529,0.000572,0.000384,0.376618,0.014228,0.468610,0.000647,0.003379,0.003545,0.005121,0.001832,0.000037,0.000013,0.000399,0.000009,0.000134,0.002549,0.001249,0.000023,0.000337,0.000116,0.000060,0.000253
50211-2,HCC1806,0.000318,0.011655,0.129893,0.013936,0.005507,0.000015,0.001566,0.005981,0.014474,0.000007,0.000001,0.000193,0.000178,0.000155,0.265546,0.001230,0.040565,0.152646,0.000002,0.111444,0.000212,0.000517,0.000001,0.220721,0.000027,0.000424,0.006053,0.010389,0.004573,0.000052,0.001242,0.003796,0.001630,0.001832,0.000037,0.000013,0.000080,0.000519,0.000134,0.002095,0.001249,0.000023,0.000077,0.000116,0.000029,0.000044
50212-2,HCC1937,0.001734,0.023106,0.126316,0.023936,0.002304,0.000015,0.002695,0.001929,0.009279,0.000007,0.000001,0.000193,0.000178,0.000006,0.199776,0.000000,0.135122,0.133118,0.000002,0.225204,0.000308,0.000847,0.000001,0.524161,0.000027,0.002131,0.296125,0.005225,0.002229,0.000052,0.005032,0.029760,0.000037,0.001832,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000120,0.000116,0.000072,0.000120
50213-3,HCC1954,0.001529,0.029251,0.062116,2.028436,0.016195,0.000015,0.000061,0.007680,0.016718,0.000007,0.000001,0.000193,0.000178,0.000006,0.630281,0.000079,0.027379,0.205159,0.000002,0.233839,0.000002,0.000018,0.000001,0.351399,0.000212,0.000950,0.678940,0.267708,0.854272,0.016644,0.017337,0.022861,0.004967,0.020476,0.000037,0.000013,0.000080,0.000009,0.000134,0.007201,0.001249,0.000210,0.000225,0.000116,0.000019,0.000072
50214-2,HCC202,0.002293,0.083788,0.066754,0.935180,0.020796,0.000015,0.007420,0.003045,0.013029,0.000474,0.000001,0.000193,0.000178,0.000346,0.000084,0.000000,0.037725,0.250326,0.000002,0.264042,0.004160,0.000355,0.000253,0.991954,0.000945,0.007669,0.437659,0.038539,0.193317,0.000052,0.009899,0.019944,0.000037,0.001832,0.000037,0.000013,0.000080,0.000188,0.000134,0.000016,0.001249,0.000023,0.000134,0.000116,0.000077,0.000228
50216-2,HCC38,0.001650,0.030563,0.040007,0.041302,0.024356,0.000015,0.001698,0.013109,0.015090,0.000145,0.000001,0.000193,0.000178,0.000006,0.011841,0.002042,0.072876,0.280569,0.000002,0.260344,0.001299,0.000018,0.000001,0.763470,0.000257,0.000854,0.077133,0.008259,0.008386,0.000052,0.005543,0.001929,0.005388,0.001832,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000137,0.000116,0.000053,0.000133
50219-2,HCC70,0.001861,0.030250,0.187019,0.018492,0.008284,0.000015,0.000061,0.006480,0.008221,0.000007,0.000001,0.000193,0.000510,0.000006,0.081869,0.005246,0.010598,0.079143,0.000002,0.127848,0.000002,0.000018,0.000001,0.241041,0.000422,0.000287,0.287724,0.077648,0.002229,0.000052,0.001546,0.000016,0.000037,0.001832,0.000037,0.000013,0.000080,0.000088,0.000134,0.000016,0.001249,0.000023,0.000041,0.000116,0.000015,0.000067
50238-2,Hs 578T,0.001051,0.038658,0.108751,0.011487,0.000070,0.000015,0.000061,0.005070,0.021411,0.000007,0.000001,0.000193,0.032878,0.130946,0.205973,0.000000,0.081158,0.086798,0.000002,0.163343,0.000002,0.000018,0.000001,0.000084,0.000027,0.000416,0.127930,0.007434,0.002229,0.000052,0.000027,0.036628,0.000037,0.010027,0.000037,0.000013,0.000080,0.004200,0.001565,0.000016,0.001249,0.000023,0.000076,0.000116,0.000006,0.000047
50583-6,MCF 10A,0.000421,0.025576,0.132898,0.017434,0.001298,0.000015,0.000061,0.098369,0.025642,0.000007,0.000001,0.000193,0.000178,0.000006,0.234945,0.000000,0.017445,0.342839,0.000002,0.157427,0.000002,0.000326,0.000001,0.009659,0.000027,0.000704,0.096342,0.020160,0.008104,0.000052,0.009461,0.034734,0.006760,0.035226,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000150,0.000116,0.000017,0.000054
50584-2,MCF 10F,0.000436,0.033675,0.028976,0.031429,0.006930,0.000015,0.001362,0.008063,0.009513,0.000007,0.000001,0.000193,0.000178,0.000222,0.399719,0.000000,0.015706,0.111644,0.000002,0.119441,0.000002,0.000018,0.000001,0.173890,0.000124,0.000194,0.069248,0.013895,0.004678,0.000052,0.003885,0.051867,0.016088,0.077511,0.000037,0.000013,0.000080,0.000009,0.000134,0.000116,0.001249,0.000023,0.000092,0.000116,0.000019,0.000062
51089-2,MCF12A,0.000301,0.016529,0.189237,0.008829,0.001731,0.000015,0.000061,0.013479,0.009227,0.000007,0.000001,0.000193,0.000178,0.000006,0.510546,0.000000,0.017256,0.092326,0.000002,0.100947,0.000002,0.000018,0.000001,0.058942,0.000027,0.000134,0.017063,0.195698,0.002618,0.000052,0.000724,0.015404,0.010887,0.050437,0.000037,0.000013,0.000080,0.000009,0.000134,0.009245,0.001249,0.000110,0.000256,0.000116,0.000058,0.000021
50029-2,MCF7,0.001550,0.127939,0.011460,0.023167,0.039686,0.000015,0.006522,0.074180,0.021787,0.000007,0.000001,0.000193,0.000178,0.000006,0.000084,0.000158,0.013895,0.123345,0.000002,0.262003,0.000002,0.000018,0.000001,0.707886,0.000027,0.000407,0.033586,0.000014,0.002229,0.000052,0.000027,0.043588,0.000037,0.193246,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000023,0.000116,0.003922,0.002145
50327-2,MDA-MB-134-VI,0.001427,0.021843,0.001077,0.012026,0.017004,0.000015,0.000061,0.022199,0.017814,0.000007,0.000001,0.000193,0.000178,0.000361,0.000084,0.000000,0.000832,0.130079,0.000002,0.183013,0.000002,0.000018,0.000001,0.106023,0.000072,0.002491,0.001641,0.000014,0.002229,0.000052,0.000027,0.000016,0.000037,0.001832,0.000037,0.000013,0.000080,0.001384,0.000134,0.000016,0.001249,0.000023,0.000077,0.000116,0.001584,0.000079
50328-2,MDA-MB-157,0.001092,0.054440,0.034858,0.006675,0.000070,0.000015,0.002708,0.001602,0.016440,0.000834,0.000001,0.000193,0.000320,0.110015,0.000084,0.008668,0.074062,0.088522,0.000002,0.158241,0.000002,0.000018,0.000001,0.000084,0.000027,0.000868,0.008996,0.002269,0.002229,0.000052,0.001407,0.006897,0.000037,0.001832,0.000037,0.000013,0.000080,0.000009,0.000134,0.000016,0.001249,0.000023,0.000058,0.000116,0.000019,0.000130
