Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50029-3,MCF7,10021-101-1,Tozasertib,10,uM,LJP5,72,hr,1389,1536,5905,0.2600,0.0487
50029-3,MCF7,10023-103-1,Imatinib,0.04,uM,LJP6,72,hr,1389,5983,5445,1.1007,1.1009
50029-3,MCF7,10023-103-1,Imatinib,0.12,uM,LJP6,72,hr,1389,6237,5445,1.1474,1.1453
50029-3,MCF7,10023-103-1,Imatinib,0.37,uM,LJP6,72,hr,1389,5801,5445,1.0656,1.0653
50029-3,MCF7,10023-103-1,Imatinib,1.11,uM,LJP6,72,hr,1389,5907,5445,1.0867,1.0872
50029-3,MCF7,10023-103-1,Imatinib,3.33,uM,LJP6,72,hr,1389,5850,5445,1.0778,1.0789
50029-3,MCF7,10023-103-1,Imatinib,10,uM,LJP6,72,hr,1389,4976,5445,0.9157,0.9133
50029-3,MCF7,10024-101-1,NVP-TAE684,0.04,uM,LJP6,72,hr,1389,4311,5445,0.7910,0.7744
50029-3,MCF7,10024-101-1,NVP-TAE684,0.12,uM,LJP6,72,hr,1389,2262,5445,0.4158,0.2801
50029-3,MCF7,10024-101-1,NVP-TAE684,0.37,uM,LJP6,72,hr,1389,1715,5445,0.3148,0.1114
50029-3,MCF7,10024-101-1,NVP-TAE684,1.11,uM,LJP6,72,hr,1389,1198,5445,0.2205,-0.0725
50029-3,MCF7,10024-101-1,NVP-TAE684,3.33,uM,LJP6,72,hr,1389,1013,5445,0.1866,-0.1481
50029-3,MCF7,10024-101-1,NVP-TAE684,10,uM,LJP6,72,hr,1389,966,5445,0.1776,-0.1687
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP5,72,hr,1389,5969,5905,1.0110,1.0106
50029-3,MCF7,10025-101-1,CGP60474,0.04,uM,LJP6,72,hr,1389,727,5445,0.1339,-0.2802
50029-3,MCF7,10025-101-1,CGP60474,0.12,uM,LJP5,72,hr,1389,1029,5905,0.1735,-0.1408
50029-3,MCF7,10025-101-1,CGP60474,0.12,uM,LJP6,72,hr,1389,659,5445,0.1217,-0.3150
50029-3,MCF7,10025-101-1,CGP60474,0.37,uM,LJP5,72,hr,1389,465,5905,0.0787,-0.4081
50029-3,MCF7,10025-101-1,CGP60474,0.37,uM,LJP6,72,hr,1389,618,5445,0.1142,-0.3372
50029-3,MCF7,10025-101-1,CGP60474,1.11,uM,LJP5,72,hr,1389,397,5905,0.0672,-0.4513
50029-3,MCF7,10025-101-1,CGP60474,1.11,uM,LJP6,72,hr,1389,581,5445,0.1067,-0.3618
50029-3,MCF7,10025-101-1,CGP60474,3.33,uM,LJP5,72,hr,1389,359,5905,0.0608,-0.4776
50029-3,MCF7,10025-101-1,CGP60474,3.33,uM,LJP6,72,hr,1389,434,5445,0.0800,-0.4480
50029-3,MCF7,10025-101-1,CGP60474,10,uM,LJP5,72,hr,1389,343,5905,0.0581,-0.4884
50029-3,MCF7,10025-101-1,CGP60474,10,uM,LJP6,72,hr,1389,300,5445,0.0552,-0.5407
50029-3,MCF7,10026-101-1,PD173074,0.04,uM,LJP6,72,hr,1389,6234,5445,1.1449,1.1423
50029-3,MCF7,10026-101-1,PD173074,0.12,uM,LJP6,72,hr,1389,5836,5445,1.0737,1.0743
50029-3,MCF7,10026-101-1,PD173074,0.37,uM,LJP6,72,hr,1389,5549,5445,1.0189,1.0189
50029-3,MCF7,10026-101-1,PD173074,1.11,uM,LJP6,72,hr,1389,5752,5445,1.0541,1.0515
50029-3,MCF7,10026-101-1,PD173074,3.33,uM,LJP6,72,hr,1389,6034,5445,1.1088,1.1080
50029-3,MCF7,10026-101-1,PD173074,10,uM,LJP6,72,hr,1389,2736,5445,0.5014,0.4069
50029-3,MCF7,10027-101-1,Crizotinib,0.04,uM,LJP5,72,hr,1389,4267,5905,0.7211,0.7069
50029-3,MCF7,10027-101-1,Crizotinib,0.12,uM,LJP5,72,hr,1389,4580,5905,0.7740,0.7660
50029-3,MCF7,10027-101-1,Crizotinib,0.37,uM,LJP5,72,hr,1389,4205,5905,0.7115,0.6984
50029-3,MCF7,10027-101-1,Crizotinib,1.11,uM,LJP5,72,hr,1389,3285,5905,0.5542,0.5009
50029-3,MCF7,10027-101-1,Crizotinib,3.33,uM,LJP5,72,hr,1389,1744,5905,0.2934,0.0972
50029-3,MCF7,10027-101-1,Crizotinib,10,uM,LJP5,72,hr,1389,1079,5905,0.1822,-0.1177
50029-3,MCF7,10028-102-1,BMS345541,0.04,uM,LJP6,72,hr,1389,5438,5445,1.0020,1.0029
50029-3,MCF7,10028-102-1,BMS345541,0.12,uM,LJP6,72,hr,1389,5186,5445,0.9545,0.9539
50029-3,MCF7,10028-102-1,BMS345541,0.37,uM,LJP6,72,hr,1389,4997,5445,0.9224,0.9192
50029-3,MCF7,10028-102-1,BMS345541,1.11,uM,LJP6,72,hr,1389,3666,5445,0.6762,0.6382
50029-3,MCF7,10028-102-1,BMS345541,3.33,uM,LJP6,72,hr,1389,1593,5445,0.2926,0.0696
50029-3,MCF7,10028-102-1,BMS345541,10,uM,LJP6,72,hr,1389,421,5445,0.0777,-0.4567
50029-3,MCF7,10031-101-1,KIN001-043,0.04,uM,LJP6,72,hr,1389,5537,5445,1.0171,1.0169
50029-3,MCF7,10031-101-1,KIN001-043,0.12,uM,LJP6,72,hr,1389,4942,5445,0.9077,0.9038
50029-3,MCF7,10031-101-1,KIN001-043,0.37,uM,LJP6,72,hr,1389,4541,5445,0.8353,0.8257
50029-3,MCF7,10031-101-1,KIN001-043,1.11,uM,LJP6,72,hr,1389,4648,5445,0.8546,0.8470
50029-3,MCF7,10031-101-1,KIN001-043,3.33,uM,LJP6,72,hr,1389,4548,5445,0.8340,0.8226
50029-3,MCF7,10031-101-1,KIN001-043,10,uM,LJP6,72,hr,1389,2219,5445,0.4058,0.2613
50029-3,MCF7,10032-101-1,Saracatinib,0.04,uM,LJP6,72,hr,1389,4594,5445,0.8439,0.8347
50029-3,MCF7,10032-101-1,Saracatinib,0.12,uM,LJP6,72,hr,1389,3378,5445,0.6191,0.5647
50029-3,MCF7,10032-101-1,Saracatinib,0.37,uM,LJP6,72,hr,1389,2345,5445,0.4306,0.3029
50029-3,MCF7,10032-101-1,Saracatinib,1.11,uM,LJP6,72,hr,1389,1811,5445,0.3327,0.1431
50029-3,MCF7,10032-101-1,Saracatinib,3.33,uM,LJP6,72,hr,1389,1515,5445,0.2788,0.0446
50029-3,MCF7,10032-101-1,Saracatinib,10,uM,LJP6,72,hr,1389,1667,5445,0.3071,0.0976
50029-3,MCF7,10035-101-1,Sigma A6730,0.04,uM,LJP5,72,hr,1389,4389,5905,0.7430,0.7344
50029-3,MCF7,10035-101-1,Sigma A6730,0.12,uM,LJP5,72,hr,1389,4612,5905,0.7806,0.7759
50029-3,MCF7,10035-101-1,Sigma A6730,0.37,uM,LJP5,72,hr,1389,4775,5905,0.8083,0.8058
50029-3,MCF7,10035-101-1,Sigma A6730,1.11,uM,LJP5,72,hr,1389,3453,5905,0.5848,0.5467
50029-3,MCF7,10035-101-1,Sigma A6730,3.33,uM,LJP5,72,hr,1389,3455,5905,0.5842,0.5446
50029-3,MCF7,10035-101-1,Sigma A6730,10,uM,LJP5,72,hr,1389,1919,5905,0.3236,0.1584
50029-3,MCF7,10039-101-1,WH-4-025,0.04,uM,LJP5,72,hr,1389,5576,5905,0.9435,0.9443
50029-3,MCF7,10039-101-1,WH-4-025,0.12,uM,LJP5,72,hr,1389,3951,5905,0.6680,0.6467
50029-3,MCF7,10039-101-1,WH-4-025,0.37,uM,LJP5,72,hr,1389,3583,5905,0.6047,0.5660
