Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,Average VIP Score
51100,K2,5,hr,p-P38(T180/Y182),NaN
51100,K2,5,hr,p-HSP27(S82),-0.30678
51100,K2,5,hr,p-NFKB(S536),-0.68530
51100,K2,5,hr,Bim,-0.60094
51100,K2,5,hr,cPARP,-0.49113
51100,K2,5,hr,p-Histone H3(S10),-0.35441
51100,K2,5,hr,p27 Kip1,-0.29404
51100,K2,10,hr,p-p90RSK(S380),1.11520
51100,K2,10,hr,p-p90RSK(T573),0.78331
51100,K2,10,hr,p-AKT(T308),1.25190
51100,K2,10,hr,p-AKT(S473),-0.67104
51100,K2,10,hr,p-mTOR(S2448),1.11510
51100,K2,10,hr,p-p70S6K(T421/S424),1.33950
51100,K2,10,hr,p-p70S6K(T389),1.24870
51100,K2,10,hr,p-S6(S235/236),1.49360
51100,K2,10,hr,p-AMPK(T172),0.75776
51100,K2,10,hr,p-JNK(T183/Y185),1.07530
51100,K2,10,hr,Total c-Jun,1.34540
51100,K2,10,hr,p-cJun(S63),1.12840
51100,K2,10,hr,p-P38(T180/Y182),0.60218
51100,K2,10,hr,p-HSP27(S82),0.49450
51100,K2,10,hr,p-NFKB(S536),0.49598
51100,K2,10,hr,Bim,-0.18648
51100,K2,10,hr,cPARP,0.75419
51100,K2,10,hr,p-Histone H3(S10),-0.23635
51100,K2,10,hr,p27 Kip1,-0.48401
51100,K2,24,hr,p-p90RSK(S380),NaN
51100,K2,24,hr,p-p90RSK(T573),NaN
51100,K2,24,hr,p-AKT(T308),0.99821
51100,K2,24,hr,p-AKT(S473),-1.41070
51100,K2,24,hr,p-mTOR(S2448),NaN
51100,K2,24,hr,p-p70S6K(T421/S424),-0.71005
51100,K2,24,hr,p-p70S6K(T389),1.12230
51100,K2,24,hr,p-S6(S235/236),1.43440
51100,K2,24,hr,p-AMPK(T172),0.43714
51100,K2,24,hr,p-JNK(T183/Y185),NaN
51100,K2,24,hr,Total c-Jun,NaN
51100,K2,24,hr,p-cJun(S63),-0.32196
51100,K2,24,hr,p-P38(T180/Y182),NaN
51100,K2,24,hr,p-HSP27(S82),-1.07210
51100,K2,24,hr,p-NFKB(S536),-1.31900
51100,K2,24,hr,Bim,-1.16210
51100,K2,24,hr,cPARP,-1.39900
51100,K2,24,hr,p-Histone H3(S10),0.97109
51100,K2,24,hr,p27 Kip1,-1.70210
51100,K2,48,hr,p-p90RSK(S380),NaN
51100,K2,48,hr,p-p90RSK(T573),NaN
51100,K2,48,hr,p-AKT(T308),0.70166
51100,K2,48,hr,p-AKT(S473),-1.95190
51100,K2,48,hr,p-mTOR(S2448),NaN
51100,K2,48,hr,p-p70S6K(T421/S424),-1.23440
51100,K2,48,hr,p-p70S6K(T389),NaN
51100,K2,48,hr,p-S6(S235/236),1.06720
51100,K2,48,hr,p-AMPK(T172),-1.33260
51100,K2,48,hr,p-JNK(T183/Y185),NaN
51100,K2,48,hr,Total c-Jun,-1.09680
51100,K2,48,hr,p-cJun(S63),-1.88390
51100,K2,48,hr,p-P38(T180/Y182),NaN
51100,K2,48,hr,p-HSP27(S82),-1.86860
51100,K2,48,hr,p-NFKB(S536),-1.74900
51100,K2,48,hr,Bim,-1.03570
51100,K2,48,hr,cPARP,-1.68290
51100,K2,48,hr,p-Histone H3(S10),1.82360
51100,K2,48,hr,p27 Kip1,-1.95150
50988,LOXIMVI,1,hr,p-p90RSK(S380),0.79999
50988,LOXIMVI,1,hr,p-p90RSK(T573),NaN
50988,LOXIMVI,1,hr,p-AKT(T308),-0.27996
50988,LOXIMVI,1,hr,p-AKT(S473),-1.21230
50988,LOXIMVI,1,hr,p-mTOR(S2448),NaN
50988,LOXIMVI,1,hr,p-p70S6K(T421/S424),1.31060
50988,LOXIMVI,1,hr,p-p70S6K(T389),0.53160
50988,LOXIMVI,1,hr,p-S6(S235/236),0.19297
50988,LOXIMVI,1,hr,p-AMPK(T172),NaN
50988,LOXIMVI,1,hr,p-JNK(T183/Y185),1.10960
50988,LOXIMVI,1,hr,Total c-Jun,0.45006
50988,LOXIMVI,1,hr,p-cJun(S63),NaN
50988,LOXIMVI,1,hr,p-P38(T180/Y182),2.33370
50988,LOXIMVI,1,hr,p-HSP27(S82),1.01950
50988,LOXIMVI,1,hr,p-NFKB(S536),1.02740
50988,LOXIMVI,1,hr,Bim,0.56722
50988,LOXIMVI,1,hr,cPARP,NaN
