Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,3,B08,72,hr,1235,1315,4326,0.3040,0.0351
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,1,B07,72,hr,1235,934,4119,0.2267,-0.1487
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,2,B07,72,hr,1235,868,4356,0.1993,-0.1765
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,3,B07,72,hr,1235,847,4326,0.1958,-0.1884
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,1,A24,72,hr,1235,2338,3974,0.5883,0.4600
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,2,A24,72,hr,1235,2718,4070,0.6678,0.5815
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,3,A24,72,hr,1235,2821,4126,0.6837,0.6073
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,1,A23,72,hr,1235,2861,3974,0.7199,0.6457
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,2,A23,72,hr,1235,2555,4070,0.6277,0.5257
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,3,A23,72,hr,1235,2503,4126,0.6066,0.5006
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,1,A22,72,hr,1235,2139,3974,0.5382,0.3849
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,2,A22,72,hr,1235,2203,4070,0.5412,0.3997
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,3,A22,72,hr,1235,2335,4126,0.5659,0.4418
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,1,A21,72,hr,1235,1906,3974,0.4796,0.2934
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,2,A21,72,hr,1235,1818,4070,0.4466,0.2518
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,3,A21,72,hr,1235,1963,4126,0.4757,0.3049
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,1,A20,72,hr,1235,1442,3974,0.3629,0.0961
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,2,A20,72,hr,1235,1498,4070,0.3680,0.1186
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,3,A20,72,hr,1235,1563,4126,0.3788,0.1448
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,1,A19,72,hr,1235,1193,3974,0.3002,-0.0205
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,2,A19,72,hr,1235,1158,4070,0.2845,-0.0369
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,3,A19,72,hr,1235,1225,4126,0.2969,-0.0048
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1,M06,72,hr,1235,4924,3974,1.2390,1.2711
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,2,M06,72,hr,1235,4563,4070,1.1210,1.1373
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,3,M06,72,hr,1235,5015,4126,1.2154,1.2372
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,1,M05,72,hr,1235,4555,3974,1.1462,1.1686
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,2,M05,72,hr,1235,4533,4070,1.1137,1.1292
50029-3,MCF7,10017-101-1,HG-6-64-01,0.12,uM,LJP6,3,M05,72,hr,1235,4753,4126,1.1519,1.1693
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,1,M04,72,hr,1235,4395,3974,1.1059,1.1231
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,2,M04,72,hr,1235,3817,4070,0.9378,0.9267
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,3,M04,72,hr,1235,3757,4126,0.9105,0.8951
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,1,M03,72,hr,1235,3663,3974,0.9217,0.9056
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,2,M03,72,hr,1235,3376,4070,0.8294,0.7939
