Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_EGF,FI_FGF,FI_GMCSF,FI_HGF,FI_IL-5,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-13,FI_MCP-1,FI_PDGF,FI_TGF-a,FI_VEGF
50084-1,A549,1,10,35,36,-11,-10,-33,453,36,357,3268,11,-3,87
50084-1,A549,1,180,486,7,47,24,47,3281,-6,433,4679,36,56,191
50084-1,A549,1,185,283,5097,-19,74,1380,10509,23,429,5422,58,625,468
50084-1,A549,1,216,232,77,6,31,1555,8654,-17,381,4892,29,107,163
50084-1,A549,1,153,967,106,34,29,4869,11381,24,417,4966,54,178,191
50084-1,A549,1,136,279,38,9,61,37,1493,51,332,3953,94,76,340
50084-1,A549,1,137,258,42,-11,-4,56,12286,-7,403,7089,72,152,447
50084-1,A549,1,152,898,138,-19,59,28933,8998,68,373,8687,96,119,702
50084-1,A549,1,158,449,-25,13,59,-16,1753,-17,82,1626,3,15,71
50084-1,A549,1,18,175,61,-4,44,9161,10679,55,183,6667,25,296,253
50084-1,A549,1,78,205,62,-19,17,31,1570,3,216,2882,67,48,103
50084-1,A549,1,45,148,145,24,12,910,8039,12,306,8118,48,165,98
50084-1,A549,1,4,62,46,1,3,302,2237,36,163,2330,66,5,165
50084-1,A549,1,68,238,21,53,7,78,1713,57,456,5866,114,205,611
50084-1,A549,1,133,210,11,45,54,9,2029,45,271,5516,47,43,60
50084-1,A549,1,216,526,-24,16,47,-26,256,15,421,302,40,63,30
50084-1,A549,1,162,287,-9,37,68,25,3865,-41,425,9087,23,133,213
50084-1,A549,1,34,171,96,0,24,89,3117,3,387,1470,61,55,137
50084-1,A549,1,42,188,90,27,15,44,8915,4,358,5541,-9,13,133
50084-1,A549,1,27,112,15,-39,31,64,834,4,365,7383,79,64,228
50084-1,A549,1,87,228,26,50,-5,3,9705,-60,193,7931,55,50,71
50084-1,A549,1,86,378,-2,17,-7,417,3822,-2,153,7612,34,38,124
50084-1,A549,1,45,306,6,16,29,7,876,25,273,7697,-5,44,171
50084-1,A549,1,4,38,61,-19,23,-5,1646,2,221,3506,-5,20,124
50084-1,A549,1,82,193,37,37,4,114,4307,12,342,10842,50,72,213
50084-1,A549,1,86,147,76,-39,47,25,1552,14,441,3186,16,142,221
50084-1,A549,1,69,96,48,-43,-9,46,355,50,463,4809,24,111,148
50084-1,A549,1,30,486,42,1,12,13,170,25,346,348,51,43,89
50084-1,A549,1,147,425,-27,9,-3,-43,71,-17,129,16,29,2,86
50084-1,A549,1,108,733,41,8,57,19,310,43,422,473,32,72,129
50084-1,A549,1,75,846,36,31,22,-7,1887,-17,153,3010,28,78,53
50084-1,A549,1,88,81,-15,-10,45,60,182,20,257,2876,-3,56,162
50084-1,A549,1,82,92,63,-9,-31,53,9464,-10,436,7532,-1,53,377
50084-1,A549,1,136,178,41,44,20,34,1942,35,305,5792,38,-10,150
50084-1,A549,1,223,178,62,22,39,43,304,30,266,147,4,36,73
50084-1,A549,1,115,165,75,49,5,-8,854,16,385,3658,19,129,190
50084-1,A549,1,8,-37,4,-44,8,-9,67,8,311,38,33,-34,43
50084-1,A549,1,115,151,29,64,2,24,3644,12,560,4572,65,56,141
50084-1,A549,1,62,195,76,27,14,2,261,-1,439,227,90,72,117
50084-1,A549,1,107,129,32,-9,28,36,108,-31,397,1506,4,36,116
50084-1,A549,1,206,195,-8,6,-6,57,204,41,476,7225,72,99,168
50084-1,A549,1,167,7422,12,28,41,105,1255,-3,435,7243,53,550,151
50084-1,A549,1,168,1174,3,28,-4,15,119,-11,106,10,17,17,46
50084-1,A549,1,108,706,25,-18,-17,2,4387,2,150,5429,46,61,628
50084-1,A549,1,171,278,42,-3,8,291,2059,-55,197,3508,-5,14,202
50084-1,A549,1,163,258,59,22,-13,-32,4018,8,190,2482,-29,45,104
50084-1,A549,1,70,145,-8,27,12,3,7499,-15,250,8634,49,81,207
50084-1,A549,1,30,64,-22,-44,16,26,687,-30,161,7527,-33,46,162
50084-1,A549,1,147,3320,21,31,19,-6,470,-5,136,311,28,39,72
50084-1,A549,1,87,138,66,38,49,-32,550,33,128,1785,1,-3,61
50084-1,A549,1,109,103,-13,27,51,19,149,35,171,9461,81,22,125
50084-1,A549,1,104,176,-16,61,47,31,4461,80,334,1807,55,84,729
50084-1,A549,1,56,208,-19,63,17,540,9368,-4,174,7636,24,114,201
50084-1,A549,1,67,74,38,6,-19,28,1726,-24,48,7540,-9,19,219
50084-1,A549,1,27,54,-13,11,1,13,1633,-35,64,7314,10,40,349
50084-1,A549,1,141,317,-17,-1,21,-24,459,-12,69,8740,60,49,83
50084-1,A549,1,21,3,12,9,6,-33,607,7,166,3684,55,53,74
50084-1,A549,1,155,157,-33,18,3,-28,70,-6,7,78,20,-18,39
50084-1,A549,1,16,111,27,32,-19,63,2881,-53,87,6366,11,13,151
50084-1,A549,1,98,238,174,58,-14,36,7741,42,106,10682,75,96,261
50084-1,A549,1,57,166,40,17,15,32,3258,-10,107,7197,11,48,97
50084-1,A549,1,34,56,38,-17,44,82,5466,-8,326,7168,2,21,151
50084-1,A549,1,46,710,53,-10,22,54,2952,15,355,199,41,58,75
50084-1,A549,1,85,72,20,-15,5,46,1581,24,78,3680,33,105,305
50084-1,A549,1,108,10,4,25,-17,49,546,19,122,5565,27,29,172
50084-1,A549,1,108,517,-23,22,-2,-27,145,7,19,17,16,36,16
50084-1,A549,1,89,643,33,-5,47,71,252,34,63,888,11,-9,39
50084-1,A549,1,39,50,-7,4,30,-1,293,-37,177,1241,1,56,216
50084-1,A549,1,102,833,28,31,15,101,1359,79,353,462,44,56,133
50084-1,A549,1,97,634,17,58,57,87,5008,-6,358,11221,40,64,180
50084-1,A549,1,24,197,40,-28,3,25,7572,31,289,296,4,107,155
50084-1,A549,1,64,45,28,63,11,7,1190,-6,275,6722,18,28,136
50084-1,A549,1,59,110,48,-8,18,14,4522,-1,391,6912,-6,14,161
50084-1,A549,1,47,307,1,-24,21,6,744,-24,421,2158,-24,18,132
50084-1,A549,1,135,647,56,4,2,31,670,24,482,437,26,45,76
50084-1,A549,1,110,203,24,21,2,45,349,28,313,1864,-14,39,108
50084-1,A549,1,273,367,27,60,16,3,6741,-15,111,11937,2,137,130
50084-1,A549,1,208,265,61,61,38,2742,3773,27,387,7931,92,69,228
50084-1,A549,1,276,558,-20,51,4,-13,3249,-23,149,8560,59,180,136
50084-1,A549,1,103,207,21,-12,-33,-11,1646,-32,128,6282,8,25,100
50084-1,A549,1,144,259,38,32,8,193,3049,1,178,5783,31,38,82
50084-1,A549,1,180,207,6,72,34,262,1348,-21,154,3799,100,-15,272
50084-1,A549,1,40,169,3,-36,17,-4,1190,21,235,6834,62,38,83
50084-1,A549,1,29,-43,3,5,-21,16,172,6,273,3988,29,6,68
50084-1,A549,1,40,57,1,30,19,59,3989,11,166,1278,-13,41,168
50084-1,A549,1,82,90,20,6,-7,192,5872,-12,141,7271,12,29,428
50084-1,A549,1,62,72,2,-7,13,262,1834,53,139,6188,-4,23,147
50084-1,A549,1,119,241,-2,-48,38,37,11582,10,199,1935,42,19,71
50084-1,A549,1,134,29,35,15,53,12,655,81,477,10229,76,42,144
50084-1,A549,1,128,176,14,24,9,1438,758,30,224,10348,32,64,198
50084-1,A549,1,-13,-17,-24,-30,38,-10,162,4,160,11815,38,49,323
50084-1,A549,1,196,645,10,21,1,43,1468,60,270,475,89,51,70
50084-1,A549,1,67,78,15,35,8,-6,138,-25,77,9022,10,13,253
50084-1,A549,1,46,106,49,-10,11,-10,117,26,77,8079,1,36,416
