Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,log10[max. dose (M)],R^2 (goodness of fit),log10[EC50 (M)],log10[IC50 (M)],log10[GI50 (M)],HillSlope,E_inf,E_max,AUC
10246-101-1,CPT-11,50541-1,T47D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,50556-1,UACC-812,-4.0696,0.7320,-4.9925,-4.0696,-5.1365,1.8045,0.5239,0.5421,8.6213
10246-101-1,CPT-11,50557-1,UACC-893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,50574-1,ZR-75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,50576-1,184B5,-4.0696,0.9129,-4.9989,-4.7855,-5.6741,0.4955,0.1080,0.3375,7.2892
10246-101-1,CPT-11,50578-1,HCC1187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,50583-1,MCF 10A,-4.0696,0.9422,-5.7206,-5.5395,-5.7374,0.7664,0.1367,0.1812,6.6568
10246-101-1,CPT-11,50584-1,MCF 10F,-4.0696,0.8412,-4.8887,-4.6939,-5.2107,0.6285,0.1375,0.3723,7.3175
10246-101-1,CPT-11,51081-1,SUM1315MO2,-4.0696,0.9746,-4.8700,-4.6390,-5.5762,0.6993,0.1552,0.3378,7.4294
10246-101-1,CPT-11,51082-1,SUM149PT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51083-1,SUM159PT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51084-1,SUM185PE,-4.0696,0.8266,-4.5644,-4.5644,-4.8918,1.6080,0.0000,0.1380,8.0645
10246-101-1,CPT-11,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51086-1,SUM229PE,-4.0696,0.9089,-4.9405,-4.9390,-5.1718,1.4445,0.0029,0.0577,7.3792
10246-101-1,CPT-11,51087-1,SUM52PE,-4.0696,0.8902,-5.3096,-5.2882,-5.7514,1.0900,0.0262,0.0677,6.9172
10246-101-1,CPT-11,51088-1,184A1,-4.0696,0.8689,-5.1516,-5.0068,-5.4106,1.6740,0.2142,0.2261,6.9583
10246-101-1,CPT-11,51089-1,MCF12A,-4.0696,0.9371,-5.2390,-5.1223,-5.8203,0.6872,0.0852,0.2439,7.0534
10246-101-1,CPT-11,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51092-1,600MPE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51093-1,HCC2185,-4.0696,0.7490,-5.0032,-4.0696,-5.8406,0.8157,0.6463,0.6985,8.4849
10246-101-1,CPT-11,51094-1,HCC3153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10246-101-1,CPT-11,51095-1,LY2,-4.0696,0.9065,-4.5886,-4.5886,-4.9149,1.0490,0.0000,0.2221,7.4125
10246-101-1,CPT-11,51096-1,ZR75B,-4.0696,0.9112,-6.0956,-4.0696,-5.8792,1.7200,0.6156,0.6157,7.8458
10247-101-1,Docetaxel,50029-1,MCF7,-5.0000,0.9618,-8.0690,-6.8236,-7.9760,1.1040,0.4827,0.4828,6.4719
10247-101-1,Docetaxel,50057-1,SK-BR-3,-5.0000,0.9657,-7.8975,-7.8099,-8.0272,2.7945,0.2183,0.2183,5.3521
10247-101-1,Docetaxel,50058-1,MDA-MB-231,-5.0000,0.9692,-8.5965,-8.5229,-8.5833,1.6915,0.1925,0.1925,4.2524
10247-101-1,Docetaxel,50091-1,AU565,-5.0000,0.9874,-8.2250,-8.1981,-8.3478,2.8860,0.1007,0.1007,4.2729
10247-101-1,Docetaxel,50105-1,BT-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10247-101-1,Docetaxel,50106-1,BT-474,-5.0000,0.9632,-8.1135,-7.6341,-8.2251,2.1630,0.4053,0.4053,6.0804
10247-101-1,Docetaxel,50107-1,BT-483,-5.0000,0.7596,-7.6580,-5.0000,-7.5839,1.6960,0.7542,0.7542,8.0907
10247-101-1,Docetaxel,50108-1,BT-549,-5.0000,0.9751,-8.5540,-8.3753,-8.5191,1.7370,0.2542,0.2542,4.8575
10247-101-1,Docetaxel,50131-1,CAMA-1,-5.0000,0.9704,-8.2760,-8.0939,-8.3245,3.9980,0.4062,0.4062,5.9096
10247-101-1,Docetaxel,50205-1,HCC1143,-5.0000,0.9068,-7.9820,-7.6856,-8.0792,2.5470,0.3678,0.3679,6.0751
10247-101-1,Docetaxel,50206-1,HCC1395,-5.0000,0.8432,-8.1310,-7.8841,-8.3044,2.0065,0.3383,0.3383,5.8332
10247-101-1,Docetaxel,50207-1,HCC1419,-5.0000,0.7471,-7.7670,-5.0000,-7.8886,1.6530,0.7057,0.7057,8.4471
10247-101-1,Docetaxel,50208-1,HCC1428,-5.0000,0.8405,-8.0940,-5.0000,-6.4032,1.0855,0.7934,0.7935,8.4257
10247-101-1,Docetaxel,50210-1,HCC1569,-5.0000,0.8391,-8.5935,-5.0000,-8.0854,1.4385,0.5932,0.5932,6.7816
10247-101-1,Docetaxel,50211-1,HCC1806,-5.0000,0.9937,-8.5945,-8.5659,-8.6584,2.1230,0.0853,0.0853,3.8338
10247-101-1,Docetaxel,50212-1,HCC1937,-5.0000,0.9371,-8.2330,-5.0000,-8.2189,3.9980,0.6654,0.6654,7.3654
10247-101-1,Docetaxel,50213-1,HCC1954,-5.0000,0.9115,-8.6430,-8.5724,-8.8092,1.2620,0.0624,0.0624,3.8091
10247-101-1,Docetaxel,50214-1,HCC202,-5.0000,0.8692,-7.9460,-5.8641,-8.3190,0.8815,0.4927,0.4940,6.5284
10247-101-1,Docetaxel,50216-1,HCC38,-5.0000,0.9818,-8.6120,-8.4709,-8.7384,1.9535,0.2238,0.2238,4.5902
10247-101-1,Docetaxel,50219-1,HCC70,-5.0000,0.9713,-8.1680,-7.8487,-8.5185,1.5350,0.2799,0.2799,5.4623
10247-101-1,Docetaxel,50238-1,Hs 578T,-5.0000,0.9693,-8.6405,-8.5044,-8.8125,1.4793,0.1759,0.1761,4.2545
10247-101-1,Docetaxel,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10247-101-1,Docetaxel,50327-1,MDA-MB-134-VI,-5.0000,0.9854,-8.1760,-7.8585,-8.2672,1.6740,0.3530,0.3530,7.8615
10247-101-1,Docetaxel,50328-1,MDA-MB-157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10247-101-1,Docetaxel,50329-1,MDA-MB-175-VII,-5.0000,0.8165,-8.0975,-5.0000,-7.8058,2.7620,0.7630,0.7630,7.7847
10247-101-1,Docetaxel,50331-1,MDA-MB-361,-5.0000,0.9451,-8.1250,-6.2289,-8.0978,1.9955,0.5056,0.5056,6.5259
10247-101-1,Docetaxel,50333-1,MDA-MB-436,-5.0000,0.8183,-7.7540,-7.4465,-7.7477,3.9940,0.4703,0.4703,6.9177
10247-101-1,Docetaxel,50334-1,MDA-MB-453,-5.0000,0.9073,-8.1335,-7.7961,-8.3189,1.9845,0.3775,0.3775,6.1263
10247-101-1,Docetaxel,50335-1,MDA-MB-468,-5.0000,0.9839,-8.5860,-8.5206,-8.7081,1.8710,0.0837,0.0837,3.8228
10247-101-1,Docetaxel,50541-1,T47D,-5.0000,0.9188,-8.4910,-5.0000,-8.5398,3.9735,0.5283,0.5283,6.5864
10247-101-1,Docetaxel,50556-1,UACC-812,-5.0000,0.8381,-8.3850,-5.0000,-8.3827,3.1055,0.6724,0.6724,7.3992
10247-101-1,Docetaxel,50557-1,UACC-893,-5.0000,0.8516,-7.7670,-7.4530,-7.8897,3.9970,0.4722,0.4722,7.5379
10247-101-1,Docetaxel,50574-1,ZR-75-1,-5.0000,0.8419,-8.3220,-5.0000,-7.7256,1.4995,0.7820,0.7820,7.9003
10247-101-1,Docetaxel,50576-1,184B5,-5.0000,0.8431,-8.6610,-5.0000,-8.3663,2.1670,0.6800,0.6800,7.7232
10247-101-1,Docetaxel,50578-1,HCC1187,-5.0000,0.9777,-8.1190,-8.0930,-8.6425,1.4650,0.0712,0.0712,4.4403
10247-101-1,Docetaxel,50583-1,MCF 10A,-5.0000,0.9724,-8.6485,-8.4958,-8.6453,1.4580,0.1865,0.1866,4.3758
10247-101-1,Docetaxel,50584-1,MCF 10F,-5.0000,0.9663,-8.6590,-8.4334,-8.6146,1.7160,0.2946,0.2946,4.9801
10247-101-1,Docetaxel,51081-1,SUM1315MO2,-5.0000,0.9856,-8.0790,-7.7519,-8.3149,1.3040,0.3126,0.3127,5.6541
10247-101-1,Docetaxel,51082-1,SUM149PT,-5.0000,0.9360,-8.8090,-8.6657,-8.8072,2.3100,0.2665,0.2665,4.7876
10247-101-1,Docetaxel,51083-1,SUM159PT,-5.0000,0.9753,-8.7915,-8.7477,-8.8094,2.1380,0.0956,0.0956,3.6627
10247-101-1,Docetaxel,51084-1,SUM185PE,-5.0000,0.9052,-7.7910,-5.0000,-7.7962,3.9920,0.5991,0.5991,7.6798
10247-101-1,Docetaxel,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10247-101-1,Docetaxel,51086-1,SUM229PE,-5.0000,0.9860,-7.9790,-7.6742,-7.9582,1.6750,0.3458,0.3458,5.9634
10247-101-1,Docetaxel,51087-1,SUM52PE,-5.0000,0.9765,-8.6740,-8.4669,-8.7954,1.5570,0.2588,0.2588,4.8421
10247-101-1,Docetaxel,51088-1,184A1,-5.0000,0.7750,-8.2270,-5.0000,-6.0351,1.3100,0.7160,0.7160,7.8073
10247-101-1,Docetaxel,51089-1,MCF12A,-5.0000,0.9298,-8.6260,-8.2368,-8.6178,1.3250,0.3435,0.3436,5.1394
10247-101-1,Docetaxel,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10247-101-1,Docetaxel,51091-1,T47DKBLUC,-5.0000,0.9620,-7.7980,-7.3631,-7.9166,1.9650,0.4303,0.4303,6.4961
10247-101-1,Docetaxel,51092-1,600MPE,-5.0000,0.7992,-7.6820,-5.0000,-7.1151,2.4180,0.7415,0.7415,8.2414
10247-101-1,Docetaxel,51093-1,HCC2185,-5.0000,0.8601,-8.4610,-5.0000,-8.5299,2.8345,0.6559,0.6559,7.0951
10247-101-1,Docetaxel,51094-1,HCC3153,-5.0000,0.9655,-7.8850,-7.4961,-8.0029,1.5310,0.4040,0.4040,6.2205
10247-101-1,Docetaxel,51095-1,LY2,-5.0000,0.9638,-8.2275,-7.2971,-8.2340,1.5105,0.3819,0.3819,5.9691
10247-101-1,Docetaxel,51096-1,ZR75B,-5.0000,0.9309,-8.2560,-5.0000,-7.9688,2.3085,0.6759,0.6759,7.3742
10248-101-1,Doxorubicin,50029-1,MCF7,-6.2596,0.9750,-6.7234,-6.7235,-6.9475,1.3200,0.0000,0.1963,7.9183
10248-101-1,Doxorubicin,50057-1,SK-BR-3,-6.2596,0.9787,-6.9014,-6.8981,-7.1294,1.4280,0.0056,0.1131,7.3714
10248-101-1,Doxorubicin,50058-1,MDA-MB-231,-6.2596,0.9375,-7.2786,-7.2786,-7.4049,0.8349,0.0000,0.1236,6.8415
10248-101-1,Doxorubicin,50091-1,AU565,-6.2596,0.9064,-7.2888,-7.2496,-7.4293,1.8740,0.0680,0.0814,7.0531
10248-101-1,Doxorubicin,50105-1,BT-20,-6.2596,0.9277,-6.3089,-6.3089,-6.5270,2.3340,0.0000,0.4342,8.2808
10248-101-1,Doxorubicin,50106-1,BT-474,-6.2596,0.9731,-6.3461,-6.3460,-6.5288,2.2890,0.0003,0.3881,8.0387
10248-101-1,Doxorubicin,50107-1,BT-483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50108-1,BT-549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50131-1,CAMA-1,-6.2596,0.9750,-6.5136,-6.5136,-6.9555,1.5700,0.0000,0.2853,8.0312
10248-101-1,Doxorubicin,50205-1,HCC1143,-6.2596,0.9684,-6.7690,-6.7690,-6.9395,1.4990,0.0000,0.1470,7.5211
10248-101-1,Doxorubicin,50206-1,HCC1395,-6.2596,0.8054,-5.2156,-6.2596,-6.7053,0.4539,0.0000,0.7486,8.4055
10248-101-1,Doxorubicin,50207-1,HCC1419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50208-1,HCC1428,-6.2596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8373
10248-101-1,Doxorubicin,50210-1,HCC1569,-6.2596,0.8574,-5.6508,-6.2596,-6.4796,0.4280,0.0000,0.6457,8.1424
10248-101-1,Doxorubicin,50211-1,HCC1806,-6.2596,0.9360,-6.9901,-6.9901,-7.3056,1.2590,0.0000,0.1493,7.3923
10248-101-1,Doxorubicin,50212-1,HCC1937,-6.2596,0.8638,-5.8318,-6.2596,-6.6820,0.8216,0.0000,0.6920,8.5936
10248-101-1,Doxorubicin,50213-1,HCC1954,-6.2596,0.9153,-6.9711,-6.9712,-7.1988,0.7182,0.0000,0.2357,7.0541
10248-101-1,Doxorubicin,50214-1,HCC202,-6.2596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7283
10248-101-1,Doxorubicin,50216-1,HCC38,-6.2596,0.8958,-7.5606,-7.5605,-8.1413,1.5120,0.0000,0.0107,6.2784
10248-101-1,Doxorubicin,50219-1,HCC70,-6.2596,0.8984,-5.8822,-6.2596,-7.3316,0.7514,0.0000,0.6576,8.3593
10248-101-1,Doxorubicin,50238-1,Hs 578T,-6.2596,0.8971,-6.6679,-6.6679,-6.9052,0.6556,0.0000,0.3499,7.4580
10248-101-1,Doxorubicin,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50327-1,MDA-MB-134-VI,-6.2596,0.8403,-6.2120,-6.2596,-6.4295,1.8000,0.0000,0.5502,8.3275
10248-101-1,Doxorubicin,50328-1,MDA-MB-157,-6.2596,0.9345,-6.8059,-6.8059,-7.3282,1.8710,0.0000,0.0923,7.4851
10248-101-1,Doxorubicin,50329-1,MDA-MB-175-VII,-6.2596,0.9332,-6.6478,-6.6036,-6.9876,1.9955,0.1025,0.2936,7.9538
10248-101-1,Doxorubicin,50331-1,MDA-MB-361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50333-1,MDA-MB-436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50334-1,MDA-MB-453,-6.2596,0.8523,-6.6610,-6.6611,-6.9194,2.4350,0.0000,0.0953,7.4383
10248-101-1,Doxorubicin,50335-1,MDA-MB-468,-6.2596,0.8596,-6.9948,-6.9180,-7.1414,1.9500,0.1211,0.1824,7.4972
10248-101-1,Doxorubicin,50541-1,T47D,-6.2596,0.8913,-6.4580,-6.4460,-7.2470,0.8943,0.0146,0.3997,8.1427
10248-101-1,Doxorubicin,50556-1,UACC-812,-6.2596,0.8502,-6.3713,-6.3713,-6.6247,1.8830,0.0000,0.3812,8.2791
10248-101-1,Doxorubicin,50557-1,UACC-893,-6.2596,0.9220,-6.7659,-6.7659,-7.2336,3.0060,0.0000,0.0296,7.4102
10248-101-1,Doxorubicin,50574-1,ZR-75-1,-6.2596,0.9686,-6.0603,-6.2596,-7.1129,0.7632,0.0000,0.5866,8.3016
10248-101-1,Doxorubicin,50576-1,184B5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50578-1,HCC1187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,50583-1,MCF 10A,-6.2596,0.9093,-6.9277,-6.9278,-6.9505,1.1620,0.0000,0.1434,7.6021
10248-101-1,Doxorubicin,50584-1,MCF 10F,-6.2596,0.8259,-5.7006,-6.2596,-6.4169,0.4388,0.1948,0.7082,8.3091
10248-101-1,Doxorubicin,51081-1,SUM1315MO2,-6.2596,0.8846,-7.4776,-6.2596,-7.5908,1.2690,0.5965,0.6077,8.1547
10248-101-1,Doxorubicin,51082-1,SUM149PT,-6.2596,0.7836,-6.6004,-6.6004,-6.7222,2.5000,0.0000,0.1233,7.8025
10248-101-1,Doxorubicin,51083-1,SUM159PT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,51084-1,SUM185PE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,51086-1,SUM229PE,-6.2596,0.8997,-6.5291,-6.5291,-6.6895,1.2090,0.0000,0.3208,7.7006
10248-101-1,Doxorubicin,51087-1,SUM52PE,-6.2596,0.9158,-6.3140,-6.3140,-6.6296,1.3770,0.0000,0.4570,8.0919
10248-101-1,Doxorubicin,51088-1,184A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,51089-1,MCF12A,-6.2596,0.8299,-6.9235,-6.9235,-7.4358,0.7362,0.0000,0.2490,6.9971
10248-101-1,Doxorubicin,51090-1,MX1,-6.2596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1928
10248-101-1,Doxorubicin,51091-1,T47DKBLUC,-6.2596,0.8382,-6.6518,-6.2596,-7.0234,1.2130,0.5184,0.5374,8.2598
10248-101-1,Doxorubicin,51092-1,600MPE,-6.2596,0.9428,-6.5567,-6.5568,-6.6508,2.0470,0.0000,0.1977,7.8129
10248-101-1,Doxorubicin,51093-1,HCC2185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10248-101-1,Doxorubicin,51094-1,HCC3153,-6.2596,0.9648,-6.5902,-6.5902,-6.9511,1.0970,0.0000,0.3026,7.7658
10248-101-1,Doxorubicin,51095-1,LY2,-6.2596,0.8251,-6.3938,-6.3939,-6.4425,0.9242,0.0000,0.4291,8.0294
10248-101-1,Doxorubicin,51096-1,ZR75B,-6.2596,0.8591,-6.8890,-6.8889,-7.3287,0.3911,0.0000,0.3620,6.9534
10249-999-1,Epirubicin,50029-1,MCF7,-3.7645,0.9031,-5.9530,-5.9181,-6.4764,1.4441,0.0809,0.1438,5.7115
10249-999-1,Epirubicin,50057-1,SK-BR-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50058-1,MDA-MB-231,-3.7645,0.9786,-6.4625,-6.4388,-6.4883,2.0520,0.0733,0.0733,5.1649
10249-999-1,Epirubicin,50091-1,AU565,-3.7645,0.9869,-6.7750,-6.7658,-6.9048,2.2395,0.0221,0.0221,4.3991
10249-999-1,Epirubicin,50105-1,BT-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50106-1,BT-474,-3.7645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2101
10249-999-1,Epirubicin,50107-1,BT-483,-3.7645,0.8216,-5.0465,-5.0469,-6.7952,0.4296,0.0000,0.2195,6.3459
10249-999-1,Epirubicin,50108-1,BT-549,-3.7645,0.9551,-6.6635,-6.6622,-6.7433,1.6005,0.0026,0.0027,4.2378
10249-999-1,Epirubicin,50131-1,CAMA-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50205-1,HCC1143,-3.7645,0.9699,-6.3985,-6.3772,-6.6363,1.7131,0.0412,0.0429,4.9169
10249-999-1,Epirubicin,50206-1,HCC1395,-3.7645,0.9094,-5.8905,-5.8902,-6.4100,0.8133,0.0000,0.0207,5.6823
10249-999-1,Epirubicin,50207-1,HCC1419,-3.7645,0.9444,-5.8995,-5.8275,-6.3294,1.8880,0.1337,0.1338,5.9585
10249-999-1,Epirubicin,50208-1,HCC1428,-3.7645,0.9855,-5.7275,-5.7191,-5.8954,3.2320,0.0302,0.0302,6.0288
10249-999-1,Epirubicin,50210-1,HCC1569,-3.7645,0.9012,-5.9645,-5.8433,-6.1287,0.7519,0.1000,0.1219,5.8298
10249-999-1,Epirubicin,50211-1,HCC1806,-3.7645,0.9682,-6.6205,-6.6193,-6.8314,1.2815,0.0026,0.0036,4.3489
10249-999-1,Epirubicin,50212-1,HCC1937,-3.7645,0.9830,-6.4625,-6.4075,-6.7097,1.2960,0.0753,0.0756,5.0017
10249-999-1,Epirubicin,50213-1,HCC1954,-3.7645,0.9617,-6.4180,-6.4108,-6.7111,1.2000,0.0091,0.0103,4.7783
10249-999-1,Epirubicin,50214-1,HCC202,-3.7645,0.9690,-5.9340,-5.9110,-6.4194,2.7035,0.0609,0.0614,5.5503
10249-999-1,Epirubicin,50216-1,HCC38,-3.7645,0.9808,-6.9580,-6.9407,-7.1138,2.4100,0.0416,0.0416,4.1076
10249-999-1,Epirubicin,50219-1,HCC70,-3.7645,0.9888,-6.0685,-6.0674,-6.3566,1.9870,0.0024,0.0025,5.1074
10249-999-1,Epirubicin,50238-1,Hs 578T,-3.7645,0.9828,-6.2770,-6.2534,-6.4878,1.2100,0.0209,0.0232,4.9912
10249-999-1,Epirubicin,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50327-1,MDA-MB-134-VI,-3.7645,0.9784,-5.8625,-5.8538,-6.2772,1.6150,0.0159,0.0163,7.4569
10249-999-1,Epirubicin,50328-1,MDA-MB-157,-3.7645,0.8114,-6.3615,-6.3350,-6.4068,4.0000,0.1065,0.1065,5.1224
10249-999-1,Epirubicin,50329-1,MDA-MB-175-VII,-3.7645,0.8871,-5.5955,-5.5957,-7.0223,0.4840,0.0000,0.1153,5.8316
10249-999-1,Epirubicin,50331-1,MDA-MB-361,-3.7645,0.9442,-6.5580,-6.5196,-6.6831,3.9980,0.1486,0.1486,5.3084
10249-999-1,Epirubicin,50333-1,MDA-MB-436,-3.7645,0.8787,-5.7035,-5.6557,-6.5812,0.4611,0.0247,0.1351,6.0479
10249-999-1,Epirubicin,50334-1,MDA-MB-453,-3.7645,0.9943,-6.4165,-6.4081,-6.6511,1.8880,0.0154,0.0155,4.8011
10249-999-1,Epirubicin,50335-1,MDA-MB-468,-3.7645,0.8509,-6.0215,-6.0216,-6.3744,1.3880,0.0075,0.0079,4.9269
10249-999-1,Epirubicin,50541-1,T47D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50556-1,UACC-812,-3.7645,0.7580,-6.4975,-6.4043,-6.5777,3.9950,0.2870,0.2870,5.8123
10249-999-1,Epirubicin,50557-1,UACC-893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50574-1,ZR-75-1,-3.7645,0.9069,-6.4145,-6.2822,-6.6394,2.3481,0.1882,0.1961,5.5258
10249-999-1,Epirubicin,50576-1,184B5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,50578-1,HCC1187,-3.7645,0.9833,-6.1880,-6.1841,-6.3978,3.4260,0.0162,0.0162,4.9992
10249-999-1,Epirubicin,50583-1,MCF 10A,-3.7645,0.9708,-6.6245,-6.6246,-6.7413,1.2190,0.0000,0.0003,4.4868
10249-999-1,Epirubicin,50584-1,MCF 10F,-3.7645,0.9818,-6.1955,-6.1942,-6.3722,1.5190,0.0026,0.0029,5.3019
10249-999-1,Epirubicin,51081-1,SUM1315MO2,-3.7645,0.9526,-6.2915,-6.2919,-7.4016,0.7558,0.0000,0.0121,4.6928
10249-999-1,Epirubicin,51082-1,SUM149PT,-3.7645,0.9853,-6.4895,-6.4896,-6.6626,1.4290,0.0000,0.0001,4.7674
10249-999-1,Epirubicin,51083-1,SUM159PT,-3.7645,0.9935,-6.8275,-6.8227,-6.8449,2.8650,0.0166,0.0166,4.2723
10249-999-1,Epirubicin,51084-1,SUM185PE,-3.7645,0.9615,-6.1775,-6.0982,-6.4283,1.9040,0.1470,0.1470,5.6930
10249-999-1,Epirubicin,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,51086-1,SUM229PE,-3.7645,0.9624,-6.5365,-6.4531,-6.6309,1.7540,0.1432,0.1432,5.1324
10249-999-1,Epirubicin,51087-1,SUM52PE,-3.7645,0.9107,-6.5920,-6.5707,-7.4905,1.3728,0.0487,0.0603,4.4379
10249-999-1,Epirubicin,51088-1,184A1,-3.7645,0.9423,-6.1815,-6.1671,-6.6338,1.1830,0.0193,0.0207,5.3206
10249-999-1,Epirubicin,51089-1,MCF12A,-3.7645,0.9770,-7.0825,-7.0822,-7.3078,0.8421,0.0000,0.0016,3.7649
10249-999-1,Epirubicin,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10249-999-1,Epirubicin,51092-1,600MPE,-3.7645,0.8862,-6.4465,-6.3394,-6.5021,3.9990,0.3126,0.3126,6.0460
10249-999-1,Epirubicin,51093-1,HCC2185,-3.7645,0.9847,-5.5875,-5.5878,-6.8186,0.7520,0.0000,0.0408,5.9682
10249-999-1,Epirubicin,51094-1,HCC3153,-3.7645,0.9957,-6.1245,-6.1117,-6.2411,2.1260,0.0299,0.0299,5.2491
10249-999-1,Epirubicin,51095-1,LY2,-3.7645,0.8372,-6.4390,-6.4202,-6.5226,2.1439,0.0728,0.1462,4.9061
10249-999-1,Epirubicin,51096-1,ZR75B,-3.7645,0.9804,-6.6145,-6.5195,-6.9691,0.9953,0.0980,0.0993,4.8835
10250-101-1,Etoposide,50029-1,MCF7,-3.4776,0.9319,-4.6461,-4.2247,-5.1533,0.5006,0.1684,0.3706,7.1186
10250-101-1,Etoposide,50057-1,SK-BR-3,-3.4776,0.9864,-5.7416,-5.6804,-5.9393,1.0745,0.0708,0.0743,5.6019
10250-101-1,Etoposide,50058-1,MDA-MB-231,-3.4776,0.9125,-5.5001,-5.4973,-5.5939,1.2410,0.0230,0.0245,6.0232
10250-101-1,Etoposide,50091-1,AU565,-3.4776,0.9894,-6.1256,-6.1010,-6.2330,1.6625,0.0437,0.0438,4.9192
10250-101-1,Etoposide,50105-1,BT-20,-3.4776,0.9749,-5.2386,-5.1292,-5.5056,1.3330,0.1428,0.1466,6.4287
10250-101-1,Etoposide,50106-1,BT-474,-3.4776,0.9108,-4.4573,-3.9125,-4.6587,1.1760,0.3856,0.4260,7.5962
10250-101-1,Etoposide,50107-1,BT-483,-3.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7183
10250-101-1,Etoposide,50108-1,BT-549,-3.4776,0.9693,-5.8331,-5.8288,-5.9266,1.0780,0.0054,0.0083,5.3185
10250-101-1,Etoposide,50131-1,CAMA-1,-3.4776,0.9467,-5.0031,-4.7789,-5.4490,1.0133,0.1952,0.2616,6.6985
10250-101-1,Etoposide,50205-1,HCC1143,-3.4776,0.9817,-5.0596,-4.9701,-5.3093,0.8765,0.0830,0.1191,6.5680
