Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,log10[max. dose (M)],R^2 (goodness of fit),log10[EC50 (M)],log10[IC50 (M)],log10[GI50 (M)],HillSlope,E_inf,E_max,AUC
10021-101-5,Tozasertib,50238-1,Hs 578T,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50324-1,MB 157,-4.0000,0.9915,-7.0960,-7.0691,-7.1271,3.7840,0.1047,0.1047,4.6667
10021-101-5,Tozasertib,50327-1,MDA-MB-134-VI,-4.0000,0.9695,-4.7252,-4.7252,-5.7263,0.4520,0.0000,0.3198,7.0698
10021-101-5,Tozasertib,50328-1,MDA-MB-157,-4.0000,0.9065,-5.0270,-5.0273,-5.4475,0.8482,0.0000,0.1185,6.9191
10021-101-5,Tozasertib,50329-1,MDA-MB-175-VII,-4.0000,0.9576,-4.4982,-4.4983,-4.8063,3.0030,0.0000,0.0309,7.5216
10021-101-5,Tozasertib,50331-1,MDA-MB-361,-4.0000,0.9415,-4.5904,-4.5905,-5.2826,2.2145,0.0000,0.0505,7.4753
10021-101-5,Tozasertib,50333-1,MDA-MB-436,-4.0000,0.8816,-5.3890,-5.3894,-6.0657,0.4927,0.0000,0.1713,6.4739
10021-101-5,Tozasertib,50334-1,MDA-MB-453,-4.0000,0.8180,-4.7763,-4.7762,-5.2841,0.7487,0.0000,0.2078,6.9240
10021-101-5,Tozasertib,50335-1,MDA-MB-468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50541-1,T47D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50556-1,UACC-812,-4.0000,0.8195,-4.5034,-4.5034,-4.9544,1.8730,0.0000,0.1024,7.1924
10021-101-5,Tozasertib,50557-1,UACC-893,-4.0000,0.8455,-4.3861,-4.3862,-4.8815,1.9540,0.0000,0.1496,7.4964
10021-101-5,Tozasertib,50574-1,ZR-75-1,-4.0000,0.8356,-4.7910,-4.7910,-5.4789,0.7409,0.0000,0.2060,6.7892
10021-101-5,Tozasertib,50576-1,184B5,-4.0000,0.9641,-5.3720,-5.3719,-5.7560,0.7204,0.0000,0.0932,6.4426
10021-101-5,Tozasertib,50578-1,HCC1187,-4.0000,0.9337,-6.9510,-6.8256,-6.9967,2.9370,0.2867,0.2867,5.5965
10021-101-5,Tozasertib,50583-1,MCF 10A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,50584-1,MCF 10F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51081-1,SUM1315MO2,-4.0000,0.9491,-4.7150,-4.7149,-5.4637,0.8303,0.0000,0.2031,7.2828
10021-101-5,Tozasertib,51082-1,SUM149PT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51083-1,SUM159PT,-4.0000,0.8415,-6.6890,-6.6080,-6.6556,2.2570,0.1716,0.1716,5.7599
10021-101-5,Tozasertib,51084-1,SUM185PE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51085-1,SUM225CWN,-4.0000,0.8959,-4.5514,-4.5514,-4.7894,2.4360,0.0000,0.0434,7.4471
10021-101-5,Tozasertib,51086-1,SUM229PE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51087-1,SUM52PE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51088-1,184A1,-4.0000,0.9510,-5.1140,-5.1141,-5.7005,0.5227,0.0000,0.2074,6.6019
10021-101-5,Tozasertib,51089-1,MCF12A,-4.0000,0.9463,-6.0300,-5.7835,-6.1471,0.6227,0.1488,0.1928,6.1950
10021-101-5,Tozasertib,51090-1,MX1,-4.0000,0.9705,-6.1670,-6.1448,-6.4119,2.7780,0.0675,0.0675,5.4849
10021-101-5,Tozasertib,51091-1,T47DKBLUC,-4.0000,0.9604,-4.2170,-4.2169,-4.4951,1.3030,0.0000,0.3428,8.1597
10021-101-5,Tozasertib,51092-1,600MPE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51093-1,HCC2185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10021-101-5,Tozasertib,51094-1,HCC3153,-4.0000,0.9569,-4.5640,-4.5330,-4.6594,3.9990,0.1242,0.1290,7.8870
10021-101-5,Tozasertib,51095-1,LY2,-4.0000,0.7365,-5.0460,-5.0458,-6.0259,0.4839,0.0000,0.2377,6.2912
10021-101-5,Tozasertib,51096-1,ZR75B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10023-103-3,Imatinib,50029-1,MCF7,-3.2480,0.9699,-4.5890,-4.5889,-4.7959,2.0400,0.0000,0.0019,6.5013
10023-103-3,Imatinib,50057-1,SK-BR-3,-3.2480,0.9738,-4.5320,-4.5315,-4.6358,2.5155,0.0018,0.0029,6.3929
10023-103-3,Imatinib,50058-1,MDA-MB-231,-3.2480,0.8984,-4.6860,-4.6859,-4.8678,1.6770,0.0000,0.0021,6.0114
10023-103-3,Imatinib,50091-1,AU565,-3.2480,0.9768,-4.6470,-4.6466,-4.7322,2.2870,0.0000,0.0007,6.4509
10023-103-3,Imatinib,50105-1,BT-20,-3.2480,0.9642,-4.5610,-4.5611,-4.8484,1.9750,0.0000,0.0028,6.4287
10023-103-3,Imatinib,50106-1,BT-474,-3.2480,0.9719,-4.3865,-4.3844,-4.5539,3.5015,0.0071,0.0072,7.1381
10023-103-3,Imatinib,50107-1,BT-483,-3.2480,0.9598,-4.3210,-4.3198,-4.5408,3.4310,0.0054,0.0056,6.5886
10023-103-3,Imatinib,50108-1,BT-549,-3.2480,0.9758,-4.5030,-4.5034,-4.5287,3.7630,0.0000,0.0000,6.9489
10023-103-3,Imatinib,50131-1,CAMA-1,-3.2480,0.9889,-4.5860,-4.5847,-4.7328,3.1970,0.0056,0.0059,6.5864
10023-103-3,Imatinib,50205-1,HCC1143,-3.2480,0.9749,-4.5030,-4.5032,-4.5783,3.5030,0.0006,0.0007,6.7375
10023-103-3,Imatinib,50206-1,HCC1395,-3.2480,0.9806,-4.5505,-4.5496,-4.7202,3.8375,0.0032,0.0032,6.6410
10023-103-3,Imatinib,50207-1,HCC1419,-3.2480,0.9854,-4.4645,-4.4631,-4.6953,3.8055,0.0051,0.0051,6.7375
10023-103-3,Imatinib,50208-1,HCC1428,-3.2480,0.9867,-4.5310,-4.5302,-4.7440,2.5995,0.0000,0.0007,6.6634
10023-103-3,Imatinib,50210-1,HCC1569,-3.2480,0.9764,-4.5920,-4.5922,-4.7569,1.8470,0.0000,0.0036,6.4402
10023-103-3,Imatinib,50211-1,HCC1806,-3.2480,0.9836,-5.1410,-5.1337,-5.2206,2.3450,0.0196,0.0196,5.7534
10023-103-3,Imatinib,50212-1,HCC1937,-3.2480,0.9771,-4.5720,-4.5718,-4.6962,2.4660,0.0000,0.0005,6.3870
10023-103-3,Imatinib,50213-1,HCC1954,-3.2480,0.9816,-4.9230,-4.9208,-5.0391,2.2800,0.0093,0.0099,6.1273
10023-103-3,Imatinib,50214-1,HCC202,-3.2480,0.9758,-4.5180,-4.5184,-4.8428,2.3060,0.0000,0.0012,6.4927
10023-103-3,Imatinib,50216-1,HCC38,-3.2480,0.9826,-4.4495,-4.4491,-4.5222,3.7970,0.0011,0.0011,6.8741
10023-103-3,Imatinib,50219-1,HCC70,-3.2480,0.9722,-4.5260,-4.5261,-4.7307,2.4460,0.0000,0.0007,6.5545
10023-103-3,Imatinib,50238-1,Hs 578T,-3.2480,0.7789,-4.2235,-4.2235,-4.2478,3.9950,0.0000,0.0001,8.6178
10023-103-3,Imatinib,50324-1,MB 157,-3.2480,0.9257,-4.6250,-4.6237,-4.6820,3.9870,0.0039,0.0039,6.5279
10023-103-3,Imatinib,50327-1,MDA-MB-134-VI,-3.2480,0.9236,-4.2770,-4.2771,-4.5481,1.6620,0.0000,0.0191,6.5153
10023-103-3,Imatinib,50328-1,MDA-MB-157,-3.2480,0.9862,-4.5660,-4.5652,-4.7246,3.0205,0.0033,0.0036,6.6366
10023-103-3,Imatinib,50329-1,MDA-MB-175-VII,-3.2480,0.9700,-4.8320,-4.8324,-5.2006,1.4170,0.0000,0.0057,5.9697
10023-103-3,Imatinib,50331-1,MDA-MB-361,-3.2480,0.9895,-4.4620,-4.4600,-4.6177,3.8790,0.0054,0.0054,6.8426
10023-103-3,Imatinib,50333-1,MDA-MB-436,-3.2480,0.9531,-4.5560,-4.5561,-4.7613,1.5600,0.0000,0.0090,6.5352
10023-103-3,Imatinib,50334-1,MDA-MB-453,-3.2480,0.9413,-4.7725,-4.7724,-5.0029,1.5870,0.0000,0.0046,5.9356
10023-103-3,Imatinib,50335-1,MDA-MB-468,-3.2480,0.9814,-4.8485,-4.8453,-4.9340,2.4910,0.0089,0.0091,6.0640
10023-103-3,Imatinib,50541-1,T47D,-3.2480,0.9692,-4.6025,-4.6027,-4.8049,1.7295,0.0000,0.0054,6.3271
10023-103-3,Imatinib,50556-1,UACC-812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10023-103-3,Imatinib,50557-1,UACC-893,-3.2480,0.9798,-4.5520,-4.5520,-4.7819,2.5830,0.0000,0.0005,6.4846
10023-103-3,Imatinib,50574-1,ZR-75-1,-3.2480,0.9815,-4.4360,-4.4347,-4.5865,3.2260,0.0065,0.0066,6.9338
10023-103-3,Imatinib,50576-1,184B5,-3.2480,0.9858,-4.5110,-4.5095,-4.6356,2.8725,0.0039,0.0042,6.5564
10023-103-3,Imatinib,50578-1,HCC1187,-3.2480,0.9652,-4.4730,-4.4710,-4.6078,3.2240,0.0000,0.0072,6.5760
10023-103-3,Imatinib,50583-1,MCF 10A,-3.2480,0.9742,-4.4440,-4.4439,-4.4645,3.3880,0.0011,0.0012,6.6451
10023-103-3,Imatinib,50584-1,MCF 10F,-3.2480,0.9698,-4.5325,-4.5326,-4.7421,2.4455,0.0000,0.0059,6.8208
10023-103-3,Imatinib,51081-1,SUM1315MO2,-3.2480,0.9796,-4.4840,-4.4815,-4.6214,3.9990,0.0113,0.0113,7.1171
10023-103-3,Imatinib,51082-1,SUM149PT,-3.2480,0.9675,-4.6360,-4.6354,-4.6881,3.9880,0.0052,0.0052,6.6917
10023-103-3,Imatinib,51083-1,SUM159PT,-3.2480,0.9729,-4.9070,-4.9068,-4.9231,3.9930,0.0000,0.0000,6.3954
10023-103-3,Imatinib,51084-1,SUM185PE,-3.2480,0.9547,-4.6860,-4.6852,-4.8795,2.5860,0.0036,0.0038,6.6258
10023-103-3,Imatinib,51085-1,SUM225CWN,-3.2480,0.9795,-4.6485,-4.6481,-4.8764,2.4335,0.0000,0.0006,6.5728
10023-103-3,Imatinib,51086-1,SUM229PE,-3.2480,0.9703,-4.8160,-4.8152,-5.0068,2.6580,0.0042,0.0066,6.0697
10023-103-3,Imatinib,51087-1,SUM52PE,-3.2480,0.9540,-4.3815,-4.3815,-4.6729,1.3085,0.0000,0.0348,6.8613
10023-103-3,Imatinib,51088-1,184A1,-3.2480,0.9625,-4.6160,-4.6155,-4.8241,2.0840,0.0000,0.0014,6.7905
10023-103-3,Imatinib,51089-1,MCF12A,-3.2480,0.9668,-4.4045,-4.4029,-4.4579,3.4055,0.0060,0.0065,6.9187
10023-103-3,Imatinib,51090-1,MX1,-3.2480,0.9774,-4.4760,-4.4755,-4.6443,3.0110,0.0000,0.0002,6.5052
10023-103-3,Imatinib,51091-1,T47DKBLUC,-3.2480,0.9797,-4.5100,-4.5088,-4.6622,2.9800,0.0011,0.0013,6.6157
10023-103-3,Imatinib,51092-1,600MPE,-3.2480,0.9755,-4.4640,-4.4633,-4.6059,3.9995,0.0028,0.0028,6.8482
10023-103-3,Imatinib,51093-1,HCC2185,-3.2480,0.9751,-4.4870,-4.4872,-4.7372,3.1400,0.0003,0.0005,6.4589
10023-103-3,Imatinib,51094-1,HCC3153,-3.2480,0.9889,-4.4020,-4.4023,-4.5682,3.1980,0.0000,0.0021,6.6772
10023-103-3,Imatinib,51095-1,LY2,-3.2480,0.9694,-4.5880,-4.5861,-4.6676,3.9960,0.0080,0.0080,6.7721
10023-103-3,Imatinib,51096-1,ZR75B,-3.2480,0.9857,-4.5050,-4.5001,-4.5944,3.1900,0.0181,0.0182,6.9600
10026-101-3,PD173074,50029-1,MCF7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50057-1,SK-BR-3,-4.4776,0.9752,-4.9176,-4.9175,-4.9949,1.9200,0.0000,0.1251,7.7539
10026-101-3,PD173074,50058-1,MDA-MB-231,-4.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7436
10026-101-3,PD173074,50091-1,AU565,-4.4776,0.9380,-5.1283,-5.0852,-5.1382,3.9970,0.1635,0.1656,8.0550
10026-101-3,PD173074,50105-1,BT-20,-4.4776,0.8027,-5.0040,-4.8614,-5.1114,4.0000,0.3654,0.3703,8.6204
10026-101-3,PD173074,50106-1,BT-474,-4.4776,0.9345,-4.8460,-4.8119,-4.9537,4.0000,0.1345,0.1627,8.3440
10026-101-3,PD173074,50107-1,BT-483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50108-1,BT-549,-4.4776,0.9379,-5.0909,-5.0909,-5.1028,2.5840,0.0000,0.0254,7.9333
10026-101-3,PD173074,50131-1,CAMA-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10026-101-3,PD173074,50205-1,HCC1143,-4.4776,0.9259,-4.8148,-4.7874,-4.9249,1.7550,0.0524,0.2455,8.1306
10026-101-3,PD173074,50206-1,HCC1395,-4.4776,0.9577,-5.5896,-5.5895,-6.1550,0.5878,0.0000,0.1817,6.7448
10026-101-3,PD173074,50207-1,HCC1419,-4.4776,0.7651,-4.2805,-4.4776,-5.1784,1.1525,0.0000,0.6269,8.3843
