Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,8,31,34,2,35,27,460,25,15,35,432,27,161,20
50869-1,U-937,1,-2,-6,15,3,28,3,409,34,27,17,419,20,7,20
50869-1,U-937,1,19,8,-22,1,7,43,357,54,18,4,216,12,536,14
50869-1,U-937,1,28,10,17,-15,27,8,236,12,19,-7,128,15,-11,18
50869-1,U-937,1,-1,-9,29,30,3,14,183,27,-7,11,143,32,37,5
50869-1,U-937,1,28,40,19,8,28,0,431,21,35,50,858,8,435,6
50869-1,U-937,1,42,19,29,34,25,-27,1440,17,15,254,955,26,15,-22
50869-1,U-937,1,4,18,-22,-3,-10,-5,1098,33,18,62,246,-1,35,19
50869-1,U-937,1,34,7,-1,3,-3,27,565,-1,58,27,160,-6,36,-9
50869-1,U-937,1,2,0,31,21,5,5,3602,28,21,1452,2483,-19,261,43
50869-1,U-937,1,26,19,37,-8,-3,-13,6448,31,30,24,266,20,783,21
50869-1,U-937,1,18,-4,29,0,7,-3,345,42,70,15,1304,-11,242,37
50869-1,U-937,1,24,10,32,37,1,42,3317,48,-16,378,1490,-44,1288,46
50869-1,U-937,1,37,10,28,17,20,36,1498,30,84,1251,1770,4,66,48
50869-1,U-937,1,40,15,27,14,-7,11,411,0,62,51,2252,9,199,11
50869-1,U-937,1,5,35,43,18,-4,20,621,6,2,28,1567,11,316,42
50869-1,U-937,1,20,12,19,13,57,9,1406,-3,-6,36,1216,5,359,-7
50869-1,U-937,1,18,-25,27,13,49,7,313,23,18,46,1127,-29,167,14
50869-1,U-937,1,1,-15,-9,38,-9,37,349,15,-10,11,1089,12,203,15
50869-1,U-937,1,2,14,26,42,26,30,4781,19,45,557,1763,343,167,44
50869-1,U-937,1,122,-11,23,71,14,266,5194,25,25,538,912,22,2680,47
50869-1,U-937,1,-14,-4,35,1,16,7,2347,27,32,70,1794,-25,144,32
50869-1,U-937,1,-15,-14,18,-19,9,32,531,10,23,50,279,12,17,-6
50869-1,U-937,1,-3,5,9,30,9,21,1621,28,9,70,764,29,582,-5
50869-1,U-937,1,-1,37,17,-9,-2,6,197,5,2,17,946,-34,427,6
50869-1,U-937,1,15,-22,16,-19,15,6,42,10,0,-9,245,-40,1234,-5
50869-1,U-937,1,-17,-15,4,14,17,-29,108,6,0,18,760,-9,93,10
50869-1,U-937,1,1,24,-5,-5,7,4,192,16,21,33,307,-42,61,-17
50869-1,U-937,1,-2,-11,3,32,-2,-2,373,7,2,35,2519,-4,139,18
50869-1,U-937,1,-9,-6,2,19,6,40,158,16,27,-6,99,-3,102,-15
50869-1,U-937,1,27,-5,15,25,20,-5,268,35,44,17,337,18,276,1
50869-1,U-937,1,18,21,3,-10,13,31,117,8,-2,42,102,22,6,0
50869-1,U-937,1,9,13,4,-18,-21,19,318,20,24,7,750,7,625,15
50869-1,U-937,1,-7,32,12,-12,16,-10,169,3,44,10,845,-11,1363,11
50869-1,U-937,1,18,0,13,23,0,17,104,16,10,44,825,14,251,20
50869-1,U-937,1,27,12,20,10,17,14,24,-1,10,-11,87,18,-3,34
50869-1,U-937,1,9,-9,20,-11,23,-19,118,19,-11,35,1869,13,528,-4
50869-1,U-937,1,4,-14,-18,23,9,-12,3126,7,9,1074,2703,20,184,-22
50869-1,U-937,1,52,20,55,30,19,-12,402,5,29,272,1077,-21,106,-13
50869-1,U-937,1,33,-9,35,44,31,63,201,20,46,84,1041,2,88,-1
50869-1,U-937,1,47,-2,8,27,-11,67,370,55,38,295,1063,9,77,34
50869-1,U-937,1,37,-1,41,30,29,52,715,36,37,19,1583,-9,159,-6
50869-1,U-937,1,29,-2,7,40,6,39,355,60,30,144,1557,-15,52,9
50869-1,U-937,1,74,19,28,39,15,32,297,29,-10,24,158,12,21,-12
50869-1,U-937,1,21,7,-5,36,12,10,592,21,36,69,1369,38,89,14
50869-1,U-937,1,48,36,66,22,-7,86,984,40,37,85,727,8,164,19
50869-1,U-937,1,38,-2,41,5,2,8,767,47,25,968,1156,-11,260,21
50869-1,U-937,1,7,-5,11,14,12,60,350,36,36,54,836,-6,1058,-2
50869-1,U-937,1,7,16,-4,6,15,19,229,23,5,23,1496,-35,1197,23
50869-1,U-937,1,34,24,30,20,7,17,525,21,31,41,100,5,131,16
50869-1,U-937,1,27,11,-13,-7,19,22,427,3,13,48,714,-24,1908,27
50869-1,U-937,1,22,-19,13,26,38,26,240,24,21,50,474,7,22,0
50869-1,U-937,1,2,27,24,4,16,40,211,21,37,4,92,-13,22,9
50869-1,U-937,1,8,-15,-19,1,13,21,344,5,3,8,243,-18,827,1
50869-1,U-937,1,-9,8,37,-29,1,6,248,47,9,160,1512,8,573,-30
50869-1,U-937,1,-7,-4,-9,-7,12,20,196,1,-10,8,96,17,14,13
50869-1,U-937,1,3,40,10,7,27,45,466,26,27,37,1195,51,207,8
50869-1,U-937,1,23,28,46,10,19,24,4211,36,57,73,482,16,1461,12
50869-1,U-937,1,2,-6,1,-12,24,-10,78,38,25,-9,1431,6,152,23
50869-1,U-937,1,30,-2,13,14,27,44,194,6,-15,50,547,-33,341,27
50869-1,U-937,1,-20,11,-5,36,15,12,137,26,45,16,1602,-16,1209,8
50869-1,U-937,1,-20,-12,3,12,-4,45,7770,70,75,214,2013,34,806,30
50869-1,U-937,1,17,-17,18,4,23,4,91,6,-14,-4,2228,-33,423,1
50869-1,U-937,1,17,23,19,-11,-11,29,4136,41,52,46,981,24,1813,40
50869-1,U-937,1,32,8,58,-20,-32,-25,103,16,22,4,164,0,943,19
50869-1,U-937,1,34,39,22,37,30,34,190,5,35,13,526,-16,192,-5
50869-1,U-937,1,61,10,38,13,6,18,77,15,45,19,264,-9,299,12
50869-1,U-937,1,50,-8,5,14,22,68,111,5,31,34,426,-13,1482,-10
50869-1,U-937,1,3,27,11,16,-8,-10,21,12,11,-14,24,-31,4,39
50869-1,U-937,1,20,18,51,-22,18,-3,1409,30,50,46,3451,34,127,-14
50869-1,U-937,1,97,-2,40,58,26,51,423,34,52,113,645,21,142,45
50869-1,U-937,1,36,8,-18,12,5,18,1881,60,21,461,1818,40,158,-5
50869-1,U-937,1,55,22,37,65,20,54,646,66,41,42,236,9,63,9
50869-1,U-937,1,24,33,18,45,11,65,4381,29,44,1942,3382,1,731,24
50869-1,U-937,1,19,24,13,85,37,-9,434,50,36,423,1647,1,68,16
50869-1,U-937,1,8,8,10,51,-23,6,3154,10,61,93,1011,26,69,29
50869-1,U-937,1,8,6,29,13,25,23,459,24,16,94,2556,36,38,-4
50869-1,U-937,1,3,31,15,13,17,14,250,29,18,25,1594,13,107,23
50869-1,U-937,1,6,24,8,15,12,4,3304,-4,49,1291,2732,4,824,10
50869-1,U-937,1,3,0,-21,46,13,10,315,4,29,13,154,20,13,2
50869-1,U-937,1,30,29,15,53,29,-5,838,13,23,767,1612,-9,232,7
50869-1,U-937,1,6,-11,-13,11,-10,30,281,-6,13,71,1162,30,1066,14
50869-1,U-937,1,11,-13,35,25,25,41,89,10,0,15,2131,-15,383,-3
50869-1,U-937,1,55,5,1,51,5,-16,201,12,36,20,86,-30,11,21
50869-1,U-937,1,52,-18,24,34,5,-9,98,49,25,69,1441,14,476,-31
50869-1,U-937,1,6,15,11,27,12,24,104,-2,13,9,3544,-3,907,10
50869-1,U-937,1,33,36,34,39,5,1,9,26,-2,34,792,-8,113,2
50869-1,U-937,1,23,-1,40,50,2,0,132,2,26,108,1302,-2,185,1
50869-1,U-937,1,-6,7,23,79,39,30,1383,52,51,1408,1502,-15,47,75
50869-1,U-937,1,8,1,-4,17,30,21,3831,36,20,1460,2441,4,1017,42
50869-1,U-937,1,-1,10,15,15,32,25,195,35,15,36,966,4,249,8
50869-1,U-937,1,4,21,36,20,14,13,894,60,12,34,713,4,26,10
50869-1,U-937,1,22,-1,11,0,6,15,212,18,10,41,667,0,192,-21
50869-1,U-937,1,18,-5,12,11,33,2,87,19,-1,10,552,4,177,12
50869-1,U-937,1,6,-6,5,-15,20,55,152,0,5,40,530,9,604,1
50869-1,U-937,1,14,-8,35,38,29,30,131,21,2,35,1600,28,683,25
50869-1,U-937,1,-6,4,-20,2,-2,38,120,27,10,76,666,-3,183,-4
