Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
50149,COLO 858,24,hr,p-P38(T180/Y182),-0.76429,0.82830
50149,COLO 858,24,hr,p-HSP27(S82),-0.34308,-0.74685
50149,COLO 858,24,hr,p-NFKB(S536),0.85647,-0.08205
50149,COLO 858,24,hr,Bim,-6.02050,-1.29730
50149,COLO 858,24,hr,cPARP,-1.87600,0.09620
50149,COLO 858,24,hr,p-Histone H3(S10),1.50870,-0.60283
50149,COLO 858,24,hr,p27 Kip1,-5.50970,-1.34610
50149,COLO 858,48,hr,pMEK(S217/221),5.28110,1.10760
50149,COLO 858,48,hr,pERK(T202/Y204),7.31020,-2.40440
50149,COLO 858,48,hr,p-p90RSK(S380),1.04080,-0.16354
50149,COLO 858,48,hr,p-p90RSK(T573),1.97630,-1.06550
50149,COLO 858,48,hr,p-AKT(T308),0.54846,-1.43320
50149,COLO 858,48,hr,p-AKT(S473),0.59697,-1.31170
50149,COLO 858,48,hr,p-mTOR(S2448),2.68940,-1.52560
50149,COLO 858,48,hr,p-p70S6K(T421/S424),3.94250,-1.28780
50149,COLO 858,48,hr,p-p70S6K(T389),-0.08778,0.23806
50149,COLO 858,48,hr,p-S6(S235/236),7.78010,-0.48481
50149,COLO 858,48,hr,p-AMPK(T172),0.53849,0.00662
50149,COLO 858,48,hr,p-JNK(T183/Y185),0.05896,-1.15870
50149,COLO 858,48,hr,Total c-Jun,-1.34180,-1.39520
50149,COLO 858,48,hr,p-cJun(S63),-1.45060,-0.95165
50149,COLO 858,48,hr,p-P38(T180/Y182),1.34870,0.31576
50149,COLO 858,48,hr,p-HSP27(S82),0.41136,-0.08967
50149,COLO 858,48,hr,p-NFKB(S536),0.95628,-0.44199
50149,COLO 858,48,hr,Bim,0.76269,-1.67370
50149,COLO 858,48,hr,cPARP,-1.42530,-0.85678
50149,COLO 858,48,hr,p-Histone H3(S10),6.28960,-0.23500
50149,COLO 858,48,hr,p27 Kip1,-2.54430,-1.72260
51100,K2,1,hr,pMEK(S217/221),5.45430,-5.46910
51100,K2,1,hr,pERK(T202/Y204),10.00200,-0.04841
51100,K2,1,hr,p-p90RSK(S380),0.91656,-0.03499
51100,K2,1,hr,p-p90RSK(T573),0.87054,-0.26167
51100,K2,1,hr,p-AKT(T308),NaN,NaN
51100,K2,1,hr,p-AKT(S473),-0.18648,-0.02322
51100,K2,1,hr,p-mTOR(S2448),0.25683,-0.21242
51100,K2,1,hr,p-p70S6K(T421/S424),0.69444,-0.08387
51100,K2,1,hr,p-p70S6K(T389),0.92735,-0.28136
51100,K2,1,hr,p-S6(S235/236),1.29040,0.19028
51100,K2,1,hr,p-AMPK(T172),0.10272,-0.10504
51100,K2,1,hr,p-JNK(T183/Y185),0.98643,-0.27479
51100,K2,1,hr,Total c-Jun,0.98264,-0.31780
51100,K2,1,hr,p-cJun(S63),0.49806,-0.23910
51100,K2,1,hr,p-P38(T180/Y182),1.04730,-0.58664
51100,K2,1,hr,p-HSP27(S82),0.63952,-0.28587
51100,K2,1,hr,p-NFKB(S536),0.29398,-0.13852
51100,K2,1,hr,Bim,0.49984,-0.39665
51100,K2,1,hr,cPARP,0.31440,-0.14535
51100,K2,1,hr,p-Histone H3(S10),0.08862,-0.15508
51100,K2,1,hr,p27 Kip1,0.33128,-0.00180
51100,K2,5,hr,pMEK(S217/221),4.26630,-5.01600
51100,K2,5,hr,pERK(T202/Y204),8.46880,1.30340
51100,K2,5,hr,p-p90RSK(S380),-0.31708,0.18157
51100,K2,5,hr,p-p90RSK(T573),-0.33709,-0.18118
51100,K2,5,hr,p-AKT(T308),NaN,NaN
51100,K2,5,hr,p-AKT(S473),-1.23070,0.08861
51100,K2,5,hr,p-mTOR(S2448),-0.78859,-0.03840
51100,K2,5,hr,p-p70S6K(T421/S424),-0.49141,0.09269
51100,K2,5,hr,p-p70S6K(T389),0.93690,0.26060
51100,K2,5,hr,p-S6(S235/236),1.78970,-0.03500
51100,K2,5,hr,p-AMPK(T172),-1.04710,-0.25673
51100,K2,5,hr,p-JNK(T183/Y185),-0.91350,0.11905
51100,K2,5,hr,Total c-Jun,0.85293,0.18310
51100,K2,5,hr,p-cJun(S63),0.24696,0.09114
51100,K2,5,hr,p-P38(T180/Y182),-0.48809,-0.15335
51100,K2,5,hr,p-HSP27(S82),-0.77078,0.20206
51100,K2,5,hr,p-NFKB(S536),-1.07650,0.23701
51100,K2,5,hr,Bim,-2.07340,-0.07290
51100,K2,5,hr,cPARP,-1.02560,0.17606
51100,K2,5,hr,p-Histone H3(S10),-2.01300,0.00316
51100,K2,5,hr,p27 Kip1,-0.90704,0.01024
51100,K2,10,hr,pMEK(S217/221),6.04980,-5.58850
51100,K2,10,hr,pERK(T202/Y204),9.61160,1.06950
51100,K2,10,hr,p-p90RSK(S380),1.14340,0.02050
51100,K2,10,hr,p-p90RSK(T573),0.86412,-0.10965
51100,K2,10,hr,p-AKT(T308),NaN,NaN
51100,K2,10,hr,p-AKT(S473),0.01553,0.13520
51100,K2,10,hr,p-mTOR(S2448),0.91460,-0.04945
51100,K2,10,hr,p-p70S6K(T421/S424),1.43120,-0.01179
51100,K2,10,hr,p-p70S6K(T389),3.23740,0.02634
51100,K2,10,hr,p-S6(S235/236),6.28610,0.42465
51100,K2,10,hr,p-AMPK(T172),1.09610,-0.16772
51100,K2,10,hr,p-JNK(T183/Y185),1.27580,-0.05887
51100,K2,10,hr,Total c-Jun,2.45730,0.05269
51100,K2,10,hr,p-cJun(S63),1.90960,0.12645
51100,K2,10,hr,p-P38(T180/Y182),1.04910,-0.37919
