Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,1,A11,72,hr,1209,1087,3823,0.2843,-0.0623
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,2,A11,72,hr,1209,1102,4093,0.2692,-0.0516
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,3,A11,72,hr,1209,1137,4121,0.2759,-0.0344
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,1,A10,72,hr,1209,1013,3823,0.2650,-0.1013
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,2,A10,72,hr,1209,1039,4093,0.2538,-0.0828
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,3,A10,72,hr,1209,1039,4121,0.2521,-0.0824
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,1,A09,72,hr,1209,1059,3823,0.2770,-0.0769
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,2,A09,72,hr,1209,1113,4093,0.2719,-0.0462
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,3,A09,72,hr,1209,900,4121,0.2184,-0.1539
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,1,A08,72,hr,1209,957,3823,0.2503,-0.1316
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,2,A08,72,hr,1209,1002,4093,0.2448,-0.1015
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,3,A08,72,hr,1209,997,4121,0.2419,-0.1035
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,1,A07,72,hr,1209,370,3823,0.0968,-0.5101
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,2,A07,72,hr,1209,386,4093,0.0943,-0.4776
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,3,A07,72,hr,1209,409,4121,0.0992,-0.4583
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,1,B12,72,hr,1209,3591,3823,0.9393,0.9260
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,2,B12,72,hr,1209,3746,4093,0.9150,0.9015
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,3,B12,72,hr,1209,3898,4121,0.9458,0.9380
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,1,B11,72,hr,1209,3957,3823,1.0351,1.0419
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,2,B11,72,hr,1209,3816,4093,0.9321,0.9217
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,3,B11,72,hr,1209,3886,4121,0.9429,0.9346
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,1,B10,72,hr,1209,3802,3823,0.9945,0.9934
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,2,B10,72,hr,1209,3855,4093,0.9417,0.9328
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,3,B10,72,hr,1209,3820,4121,0.9269,0.9160
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,1,B09,72,hr,1209,3995,3823,1.0450,1.0537
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,2,B09,72,hr,1209,3808,4093,0.9302,0.9194
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,3,B09,72,hr,1209,4058,4121,0.9847,0.9826
