Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name
10188-101-1,BX795,51099-1,NGP,200837,TLK1
10188-101-1,BX795,51099-1,NGP,201022,TLK1/2
10188-101-1,BX795,51099-1,NGP,201071,ULK1
10188-101-1,BX795,51099-1,NGP,200839,ULK3
10188-101-1,BX795,51099-1,NGP,200841,WEE1
10188-101-1,BX795,51099-1,NGP,200842,"Wnk1,Wnk2,Wnk3"
10188-101-1,BX795,51099-1,NGP,201027,YANK3
10188-101-1,BX795,51099-1,NGP,200845,MLTK
10188-101-1,BX795,51099-1,NGP,200925,HGK (ZC1)
10188-101-1,BX795,51099-1,NGP,200847,"ZC1/HGK,ZC2/TNIK,ZC3/MINK"
10188-101-1,BX795,51099-1,NGP,200848,ZC2/TNIK
10188-101-1,BX795,51099-1,NGP,201160,ANPa
10188-101-1,BX795,51099-1,NGP,201210,KCC2D
10188-101-1,BX795,51099-1,NGP,201212,KKCC1
10188-101-1,BX795,51099-1,NGP,201168,CDK20
10188-101-1,BX795,51099-1,NGP,201181,DCLK1
10188-101-1,BX795,51099-1,NGP,201183,DGKQ
10188-101-1,BX795,51099-1,NGP,201222,M3K12
10188-101-1,BX795,51099-1,NGP,201199,GPRK5
10188-101-1,BX795,51099-1,NGP,201191,ERBB4
10188-101-1,BX795,51099-1,NGP,201215,KSR1
10188-101-1,BX795,51099-1,NGP,201240,MP2K2
10188-101-1,BX795,51099-1,NGP,201233,MARK4
10188-101-1,BX795,51099-1,NGP,201235,MELK
10188-101-1,BX795,51099-1,NGP,201243,NEK2
10188-101-1,BX795,51099-1,NGP,201250,PDHK1
10188-101-1,BX795,51099-1,NGP,201268,STK33
10188-101-1,BX795,51099-1,NGP,201279,"Wnk1,Wnk2"
,,,,,
,,,,,
10188-101-1,BX795,51099-1,NGP,201166,KCC2B
10188-101-1,BX795,51099-1,NGP,201167,KCC4
10188-101-1,BX795,51099-1,NGP,201192,MK01
10188-101-1,BX795,51099-1,NGP,201221,M3K13
10188-101-1,BX795,51099-1,NGP,201230,M3K6
10188-101-1,BX795,51099-1,NGP,201172,CDK16
10188-101-1,BX795,51099-1,NGP,201262,RSK2 domain1
10188-101-1,BX795,51099-1,NGP,201269,STK39
