Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200860,FGF-1,45024,100,ng/ml,30,minute,pAkt,449.052
50576-2,184B5,200860,FGF-1,45268,1,ng/ml,90,minute,pAkt,449.788
50576-2,184B5,200860,FGF-1,45359,100,ng/ml,90,minute,pAkt,443.470
50576-2,184B5,200860,FGF-1,44935,1,ng/ml,10,minute,pErk,1905.438
50576-2,184B5,200860,FGF-1,44819,100,ng/ml,10,minute,pErk,2887.338
50576-2,184B5,200860,FGF-1,44624,1,ng/ml,30,minute,pErk,1833.057
50576-2,184B5,200860,FGF-1,44811,100,ng/ml,30,minute,pErk,1629.576
50576-2,184B5,200860,FGF-1,44644,1,ng/ml,90,minute,pErk,1763.436
50576-2,184B5,200860,FGF-1,44947,100,ng/ml,90,minute,pErk,1447.055
50576-2,184B5,200860,FGF-1,45768,1,ng/ml,10,minute,pJnk,62.690
50576-2,184B5,200860,FGF-1,45872,100,ng/ml,10,minute,pJnk,74.371
50576-2,184B5,200860,FGF-1,45968,1,ng/ml,30,minute,pJnk,86.154
50576-2,184B5,200860,FGF-1,45904,100,ng/ml,30,minute,pJnk,74.343
50576-2,184B5,200860,FGF-1,45884,1,ng/ml,90,minute,pJnk,72.685
50576-2,184B5,200860,FGF-1,46087,100,ng/ml,90,minute,pJnk,70.751
50576-2,184B5,200860,FGF-1,45683,1,ng/ml,10,minute,pP38,212.081
50576-2,184B5,200860,FGF-1,45579,100,ng/ml,10,minute,pP38,213.636
50576-2,184B5,200860,FGF-1,45571,1,ng/ml,30,minute,pP38,212.055
50576-2,184B5,200860,FGF-1,45396,100,ng/ml,30,minute,pP38,203.772
50576-2,184B5,200860,FGF-1,45388,1,ng/ml,90,minute,pP38,208.461
50576-2,184B5,200860,FGF-1,45695,100,ng/ml,90,minute,pP38,207.899
50576-2,184B5,200861,FGF-2,45244,1,ng/ml,10,minute,pAkt,379.698
50576-2,184B5,200861,FGF-2,45136,100,ng/ml,10,minute,pAkt,369.945
50576-2,184B5,200861,FGF-2,45240,1,ng/ml,30,minute,pAkt,380.954
