Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction,Replicate
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,72,hr,2977,259,1.1867,1.0714,0.0870,0.0907,3
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,72,hr,2624,247,1.0378,1.0714,0.0941,0.0907,4
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,24,hr,2050,377,0.9673,1.0274,0.1839,0.1658,1
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,24,hr,2159,412,1.0100,1.0274,0.1908,0.1658,2
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,24,hr,2182,333,1.0690,1.0274,0.1526,0.1658,3
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,24,hr,2128,289,1.0632,1.0274,0.1358,0.1658,4
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,48,hr,1898,404,0.7269,0.8907,0.2129,0.1860,1
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,48,hr,1917,427,0.7250,0.8907,0.2227,0.1860,2
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,48,hr,2658,367,1.1147,0.8907,0.1381,0.1860,3
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,48,hr,2467,420,0.9960,0.8907,0.1703,0.1860,4
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,72,hr,2494,196,1.0033,1.0243,0.0786,0.0843,1
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,72,hr,2593,219,1.0365,1.0243,0.0845,0.0843,2
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,72,hr,2505,243,0.9876,1.0243,0.0970,0.0843,3
10068-101-1,Vemurafenib,50112-1,C32,0.0316,uM,72,hr,2655,205,1.0697,1.0243,0.0772,0.0843,4
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,24,hr,2065,385,0.9713,0.9852,0.1864,0.1861,1
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,24,hr,1958,351,0.9291,0.9852,0.1793,0.1861,2
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,24,hr,2154,414,1.0060,0.9852,0.1922,0.1861,3
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,24,hr,2199,410,1.0343,0.9852,0.1865,0.1861,4
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,48,hr,2057,297,0.8564,0.9598,0.1444,0.1267,1
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,48,hr,2070,306,0.8583,0.9598,0.1478,0.1267,2
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,48,hr,2542,245,1.1177,0.9598,0.0964,0.1267,3
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,48,hr,2346,277,1.0067,0.9598,0.1181,0.1267,4
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,72,hr,2100,145,0.8536,0.8750,0.0690,0.0610,1
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,72,hr,1979,143,0.8016,0.8750,0.0723,0.0610,2
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,72,hr,2129,105,0.8837,0.8750,0.0493,0.0610,3
10068-101-1,Vemurafenib,50112-1,C32,0.1000,uM,72,hr,2325,124,0.9610,0.8750,0.0533,0.0610,4
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,24,hr,2265,483,1.0303,0.9968,0.2133,0.2018,1
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,24,hr,2156,410,1.0095,0.9968,0.1902,0.2018,2
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,24,hr,2257,441,1.0499,0.9968,0.1954,0.2018,3
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,24,hr,1961,409,0.8973,0.9968,0.2086,0.2018,4
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,48,hr,2117,222,0.9221,0.9875,0.1049,0.0971,1
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,48,hr,2020,239,0.8666,0.9875,0.1183,0.0971,2
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,48,hr,2518,185,1.1352,0.9875,0.0735,0.0971,3
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,48,hr,2322,213,1.0262,0.9875,0.0917,0.0971,4
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,72,hr,1638,173,0.6396,0.6837,0.1056,0.1145,1
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,72,hr,1716,233,0.6475,0.6837,0.1358,0.1145,2
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,72,hr,1910,200,0.7466,0.6837,0.1047,0.1145,3
10068-101-1,Vemurafenib,50112-1,C32,0.3160,uM,72,hr,1808,202,0.7012,0.6837,0.1117,0.1145,4
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,24,hr,2013,331,0.9725,0.9267,0.1644,0.1700,1
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,24,hr,2097,381,0.9921,0.9267,0.1817,0.1700,2
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,24,hr,1995,328,0.9638,0.9267,0.1644,0.1700,3
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,24,hr,1621,275,0.7782,0.9267,0.1697,0.1700,4
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,48,hr,1748,823,0.4501,0.5510,0.4708,0.4072,1
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,48,hr,1736,706,0.5012,0.5510,0.4067,0.4072,2
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,48,hr,2109,748,0.6622,0.5510,0.3547,0.4072,3
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,48,hr,2012,798,0.5907,0.5510,0.3966,0.4072,4
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,72,hr,1017,691,0.1423,0.1615,0.6795,0.6577,1
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,72,hr,1032,733,0.1305,0.1615,0.7103,0.6577,2
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,72,hr,1158,676,0.2104,0.1615,0.5838,0.6577,3
10068-101-1,Vemurafenib,50112-1,C32,1.0000,uM,72,hr,1089,716,0.1629,0.1615,0.6575,0.6577,4
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,24,hr,1543,484,0.6123,0.6366,0.3137,0.3094,1
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,24,hr,1701,563,0.6580,0.6366,0.3310,0.3094,2
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,24,hr,1650,508,0.6603,0.6366,0.3079,0.3094,3
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,24,hr,1490,425,0.6157,0.6366,0.2852,0.3094,4
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,48,hr,1499,1332,0.0813,0.1016,0.8886,0.8624,1
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,48,hr,1342,1153,0.0920,0.1016,0.8592,0.8624,2
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,48,hr,1537,1306,0.1124,0.1016,0.8497,0.8624,3
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,48,hr,1677,1429,0.1207,0.1016,0.8521,0.8624,4
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,72,hr,998,921,0.0336,0.0274,0.9229,0.9276,1
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,72,hr,995,960,0.0153,0.0274,0.9648,0.9276,2
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,72,hr,775,688,0.0380,0.0274,0.8877,0.9276,3
10068-101-1,Vemurafenib,50112-1,C32,3.1600,uM,72,hr,798,746,0.0227,0.0274,0.9348,0.9276,4
,,50112-1,C32,0.0000,uM,24,hr,1893,209,0.9736,,0.1104,,1
,,50112-1,C32,0.0000,uM,24,hr,1969,198,1.0239,,0.1006,,1
,,50112-1,C32,0.0000,uM,24,hr,1972,200,1.0245,,0.1014,,1
,,50112-1,C32,0.0000,uM,24,hr,2052,203,1.0690,,0.0989,,1
,,50112-1,C32,0.0000,uM,24,hr,2058,210,1.0684,,0.1020,,1
,,50112-1,C32,0.0000,uM,24,hr,2059,138,1.1106,,0.0670,,1
,,50112-1,C32,0.0000,uM,24,hr,2069,140,1.1153,,0.0677,,1
,,50112-1,C32,0.0000,uM,24,hr,1650,171,0.8551,,0.1036,,2
,,50112-1,C32,0.0000,uM,24,hr,1691,148,0.8921,,0.0875,,2
,,50112-1,C32,0.0000,uM,24,hr,1742,108,0.9447,,0.0620,,2
,,50112-1,C32,0.0000,uM,24,hr,1760,177,0.9152,,0.1006,,2
,,50112-1,C32,0.0000,uM,24,hr,1813,177,0.9459,,0.0976,,2
,,50112-1,C32,0.0000,uM,24,hr,1860,155,0.9858,,0.0833,,2
,,50112-1,C32,0.0000,uM,24,hr,1917,182,1.0031,,0.0949,,2
,,50112-1,C32,0.0000,uM,24,hr,1861,193,0.9644,,0.1037,,3
,,50112-1,C32,0.0000,uM,24,hr,1872,152,0.9944,,0.0812,,3
,,50112-1,C32,0.0000,uM,24,hr,2076,209,1.0794,,0.1007,,3
,,50112-1,C32,0.0000,uM,24,hr,2085,123,1.1343,,0.0590,,3
,,50112-1,C32,0.0000,uM,24,hr,2130,236,1.0950,,0.1108,,3
,,50112-1,C32,0.0000,uM,24,hr,2146,164,1.1459,,0.0764,,3
,,50112-1,C32,0.0000,uM,24,hr,2155,145,1.1621,,0.0673,,3
,,50112-1,C32,0.0000,uM,24,hr,1549,129,0.8210,,0.0833,,4
,,50112-1,C32,0.0000,uM,24,hr,1750,135,0.9337,,0.0771,,4
,,50112-1,C32,0.0000,uM,24,hr,1770,163,0.9291,,0.0921,,4
,,50112-1,C32,0.0000,uM,24,hr,1797,139,0.9586,,0.0774,,4
,,50112-1,C32,0.0000,uM,24,hr,1836,154,0.9725,,0.0839,,4
,,50112-1,C32,0.0000,uM,24,hr,1851,107,1.0083,,0.0578,,4
,,50112-1,C32,0.0000,uM,24,hr,1889,135,1.0141,,0.0715,,4
,,50112-1,C32,0.0000,uM,48,hr,2024,398,0.7912,,0.1966,,1
,,50112-1,C32,0.0000,uM,48,hr,2050,221,0.8899,,0.1078,,1
,,50112-1,C32,0.0000,uM,48,hr,2115,381,0.8437,,0.1801,,1
,,50112-1,C32,0.0000,uM,48,hr,2153,352,0.8763,,0.1635,,1
,,50112-1,C32,0.0000,uM,48,hr,2237,304,0.9406,,0.1359,,1
,,50112-1,C32,0.0000,uM,48,hr,2240,384,0.9031,,0.1714,,1
,,50112-1,C32,0.0000,uM,48,hr,2400,215,1.0632,,0.0896,,1
,,50112-1,C32,0.0000,uM,48,hr,1654,228,0.6939,,0.1379,,2
,,50112-1,C32,0.0000,uM,48,hr,1903,217,0.8204,,0.1140,,2
,,50112-1,C32,0.0000,uM,48,hr,1946,359,0.7722,,0.1845,,2
,,50112-1,C32,0.0000,uM,48,hr,1965,252,0.8335,,0.1282,,2
,,50112-1,C32,0.0000,uM,48,hr,2011,314,0.8257,,0.1561,,2
